Protokollzeit,Herzfrequenz
00:00:00,86
00:00:10,76
00:00:20,78
00:00:30,89
00:00:40,91
00:00:50,76
00:01:00,71
00:01:10,72
00:01:20,67
00:01:30,67
00:01:40,67
00:01:50,83
00:02:00,73
00:02:10,76
00:02:20,78
00:02:30,82
00:02:40,86
00:02:50,85
00:03:00,95
00:03:10,92
00:03:20,89
00:03:30,101
00:03:40,91
00:03:50,90
00:04:00,89
00:04:10,85
00:04:20,85
00:04:30,81
00:04:40,84
00:04:50,85
00:05:00,85
00:05:10,86
00:05:20,79
00:05:30,86
00:05:40,102
00:05:50,112
00:06:00,118
00:06:10,128
00:06:20,138
00:06:30,145
00:06:40,150
00:06:50,152
00:07:00,154
00:07:10,148
00:07:20,145
00:07:30,147
00:07:40,148
00:07:50,133
00:08:00,120
00:08:10,108
00:08:20,99
00:08:30,119
00:08:40,130
00:08:50,139
00:09:00,150
00:09:10,154
00:09:20,155
00:09:30,157
00:09:40,158
00:09:50,160
00:10:00,162
00:10:10,162
00:10:20,155
00:10:30,143
00:10:40,135
00:10:50,122
00:11:00,117
00:11:10,109
00:11:20,101
00:11:30,115
00:11:40,120
00:11:50,126
00:12:00,121
00:12:10,107
00:12:20,96
00:12:30,107
00:12:40,113
00:12:50,120
00:13:00,120
00:13:10,134
00:13:20,148
00:13:30,158
00:13:40,161
00:13:50,159
00:14:00,153
00:14:10,146
00:14:20,137
00:14:30,129
00:14:40,140
00:14:50,144
00:15:00,138
00:15:10,132
00:15:20,128
00:15:30,123
00:15:40,111
00:15:50,105
00:16:00,120
00:16:10,116
00:16:20,105
00:16:30,98
00:16:40,100
00:16:50,99
00:17:00,91
00:17:10,89
00:17:20,90
00:17:30,88
00:17:40,87
00:17:50,92
00:18:00,87
00:18:10,95
00:18:20,101
00:18:30,100
00:18:40,98
00:18:50,100
00:19:00,94
00:19:10,91
00:19:20,96
00:19:30,91
00:19:40,85
00:19:50,81
00:20:00,80
00:20:10,79
00:20:20,79
00:20:30,79
00:20:40,81
00:20:50,80
00:21:00,82
00:21:10,85
00:21:20,83
00:21:30,87
00:21:40,72
00:21:50,76
00:22:00,83
00:22:10,83
00:22:20,84
00:22:30,86
00:22:40,81
00:22:50,76
00:23:00,75
00:23:10,77
00:23:20,81
00:23:30,77
00:23:40,76
00:23:50,77
00:24:00,73
00:24:10,80
00:24:20,82
00:24:30,79
00:24:40,76
00:24:50,76
00:25:00,84
00:25:10,79
00:25:20,75
00:25:30,72
00:25:40,74
00:25:50,73
00:26:00,67
00:26:10,66
00:26:20,67
00:26:30,68
00:26:40,69
