TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,27/12/13,17:18,0,18:09,20:51:00,2,02:42:00,162,4,4
02,12/01/14,17:07,0,18:09,18:40:00,2,00:31:00,31,3,2
03,14/01/14,17:09,0,17:43,18:18:00,2,00:35:00,35,3,3
04,15/01/14,18:20,0,19:54,20:23:00,2,00:29:00,29,4,4
05,18/01/14,17:00,0,17:59,18:35:00,2,00:36:00,36,4,4
06,20/01/14,14:40,0,15:39,16:19:00,2,00:40:00,40,3,3
07,22/01/14,18:18,0,19:40,23:58:00,3,04:18:00,258,7,10
08,27/01/14,17:42,0,18:46,22:01:00,3,03:15:00,195,2,2
09,29/01/14,18:19,0,20:02,22:20:00,3,02:18:00,138,7,9
10,01/02/14,17:31,0,18:35,23:00:00,3,04:25:00,265,2,2
11,03/02/14,12:05,0,13:00,00:00:00,3,11:00:00,660,4,5
12,05/02/14,18:15,0,20:02,22:26:00,3,02:24:00,144,7,10
13,07/02/14,18:22,0,19:20,19:21:00,1,00:01:00,1,3,2
14,09/02/14,17:17,0,18:26,18:30:00,1,00:04:00,4,4,4
15,12/02/14,18:19,0,19:50,19:56:00,1,00:06:00,6,7,10
16,15/02/14,13:38,0,15:07,15:12:00,1,00:05:00,5,4,5
17,17/02/14,11:48,,,12:41:00,1,,,4,5
18,19/02/14,17:09,,,18:34:00,1,,,3,3
19,22/02/14,17:12,0,18:45,05:47:00,4,10:57:00,657,2,2
20,26/02/14,17:06,0,18:07,07:30:00,4,13:08:00,788,3,3
21,27/02/14,17:06,,,22:42:00,4,,,3,4
22,01/03/14,15:24,,,09:23:00,4,,,5,7
23,04/03/14,10:23,,,08:09:00,4,,,7,9
24,06/03/14,10:21,,,07:12:00,4,,,2,2
