TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,13/04/15,05:25,00:50:00,06:15,04:47:09,4,22:32:09,1352,4,4
02,14/04/15,05:15,00:39:00,05:54,06:31:00,4,00:37:00,1477,2,3
03,17/04/15,05:20,00:45:00,06:05,07:25:52,4,01:20:52,1521,4,4
04,18/04/15,08:00,00:50:00,08:50,07:30:14,4,22:40:14,1360,7,4
05,21/04/15,05:30,00:45:00,06:15,06:31:24,4,00:16:24,1456,4,4
06,23/04/15,07:00,00:45:00,07:45,06:12:33,4,22:27:33,1348,2,3
07,09/05/15,16:03,01:16:00,17:19,02:51:40,1,09:32:40,573,5,9
08,18/05/15,05:34,00:50:00,06:24,06:27:41,1,00:03:41,4,3,3
09,19/05/15,05:27,00:49:00,06:16,06:16:53,1,00:00:53,1,3,3
10,04/06/15,05:20,00:37:00,05:57,06:05:22,1,00:08:22,8,2,2
11,07/06/15,11:50,00:37:00,12:27,12:30:44,1,00:03:44,4,3,3
12,12/06/15,05:26,00:37:00,06:03,06:11:50,1,00:08:50,9,2,2
13,15/06/15,07:26,00:47:00,08:13,23:00:27,3,14:47:27,887,4,3
14,16/06/15,05:35,00:37:00,06:12,22:42:44,3,16:30:44,991,3,3
15,21/06/15,09:20,00:36:00,09:56,22:56:41,3,13:00:41,781,4,4
16,22/06/15,19:10,00:37:00,19:47,22:11:43,3,02:24:43,145,2,4
17,25/06/15,19:51,00:37:00,20:28,22:45:39,3,02:17:39,138,2,2
18,28/06/15,10:53,00:47:00,11:40,22:12:19,3,10:32:19,632,4,4
19,01/07/15,05:44,00:52:00,06:36,07:05:13,2,00:29:13,29,3,4
20,04/07/15,07:15,00:39:00,07:54,08:26:58,2,00:32:58,33,3,3
21,05/07/15,10:51,00:31:00,11:22,11:59:07,2,00:37:07,37,3,3
22,06/07/15,07:18,00:38:00,07:56,08:27:00,2,00:31:00,31,3,3
23,11/07/15,07:27,00:30:00,07:57,08:52:30,2,00:55:30,56,3,3
24,14/07/15,06:08,00:31:00,06:39,07:06:32,2,00:27:32,28,3,2
