TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,20.01.2015,18:55,00:52,19:47:00,20/01/15 21:38,2,01:51:54,112,7,5
02,31.01.2015,17:33,00:55,18:28:00,31/01/15 18:35,2,00:07:51,8,5,7
03,01.02.2015,13:27,01:57,15:24:00,01/02/15 16:01,2,00:37:53,38,1,2
04,04.02.2015,20:54,01:01,21:55:00,04/02/15 22:59,2,01:04:04,64,4,3
05,05.02.2015,19:00,00:31,19:31:00,05/02/15 20:40,2,01:09:35,70,7,5
06,08.02.2015,13:18,02:07,15:25:00,08/02/15 16:27,2,01:02:33,63,1,3
07,10.02.2015,19:07,00:19,19:26:00,10/02/15 20:33,1,01:07:11,67,7,3
08,05.03.2015,18:54,00:49,19:43:00,06/03/15 00:21,1,04:38:31,279,7,7
09,06.03.2015,16:14,00:43,16:57:00,06/03/15 16:58,1,00:01:52,2,4,6
10,08.03.2015,17:11,01:55,19:06:00,08/03/15 19:08,1,00:02:19,2,4,4
11,13.03.2015,06:34,00:40,07:14:00,13/03/15 07:15,1,00:01:37,2,4,4
12,14.03.2015,10:01,00:46,10:47:00,14/03/15 11:08,1,00:21:29,21,7,7
13,15.03.2015,13:31,01:41,15:12:00,16/03/15 06:33,3,15:21:43,922,1,2
14,17.03.2015,17:19,00:39,17:58:00,17/03/15 22:38,3,04:40:35,281,4,5
15,19.03.2015,17:35,00:53,18:28:00,19/03/15 23:31,3,05:03:00,303,4,3
16,21.03.2015,10:24,01:31,11:55:00,22/03/15 00:12,3,12:17:54,738,4,4
17,22.03.2015,10:24,00:30,10:54:00,23/03/15 00:34,3,13:40:29,820,3,2
18,24.03.2015,19:17,00:45,20:02:00,25/03/15 07:40,3,11:38:46,699,7,5
19,29.03.2015,10:18,01:33,11:51:00,30/03/15 07:08,4,19:17:34,1158,7,5
20,04.04.2015,12:42,00:45,13:27:00,05/04/15 10:14,4,20:47:53,1248,7,5
21,05.04.2015,13:24,01:02,14:26:00,06/04/15 11:05,4,20:39:57,1240,4,3
22,06.04.2015,15:49,00:31,16:20:00,07/04/15 07:09,4,14:49:51,890,4,3
23,12.04.2015,09:12,02:03,11:15:00,13/04/15 09:11,4,21:56:17,1316,1,2
24,19.04.2015,10:30,00:41,11:11:00,20/04/15 07:21,4,20:10:48,1211,7,5
