TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,01.04.2015,20:30,01:00:00,21:30,02/04/15 07:28,4,09:58:44,599,7,7
02,04.04.2015,17:30,00:32:00,18:02,05/04/15 07:40,4,13:38:54,819,2,3
03,05.04.2015,14:40,00:55:00,15:35,06/04/15 07:41,4,16:06:12,966,3,4
04,10.04.2015,09:15,01:30,10:45,11/04/15 07:41,4,20:56:57,1257,1,3
05,,,,,,4,,,,
06,18.04.2015,12:30,00:55:00,13:25,20/04/15 07:03,4,17:38:00,2498,3,4
07,28.04.2015,14:00,01:00:00,15:00,28/04/15 22:52,3,07:52:44,473,7,7
08,30.04.2015,12:10,00:50:00,13:00,30/04/15 22:03,3,09:03:28,543,3,4
09,03.05.2015,16:15,01:52,18:07,03/05/15 22:03,3,03:56:24,176,1,5
10,07.05.2015,14:00,01:00:00,15:00,07/05/15 23:31,3,08:31:15,511,7,7
11,11.05.2015,19:00,01:00:00,20:00,11/05/15 23:14,3,03:14:07,194,3,4
12,13.05.2015,20:30,00:55:00,21:25,13/05/15 23:44,3,02:19:43,140,7,5
13,25.05.2015,16:30,01:52,18:22,25/05/15 18:28,1,00:06:03,6,1,5
14,27.05.2015,06:30,00:30:00,07:00,27/05/15 07:19,1,00:19:17,19,2,2
15,30.05.2015,07:25,01:55,09:20,30/05/15 09:21,1,00:01:27,1,1,3
16,02.06.2015,07:00,01:00,08:00,02/06/15 08:13,1,00:13:06,13,3,3
17,07.06.2015,18:20,00:55,19:15,07/06/15 19:29,1,00:14:02,14,2,3
18,10.06.2015,15:15,01:20:00,16:35,10/06/15 16:41,1,00:06:48,7,7,7
19,13.06.2015,19:40,00:55,20:35,13/06/15 21:05,2,00:30:50,31,4,4
20,14.06.2015,15:30,01:35,17:05,14/06/15 17:38,2,00:33:08,33,3,5
21,20.06.2015,18:01,00:04:00,18:05,20/06/15 19:18,2,01:13:57,74,2,2
22,23.06.2015,07:20,01:00:00,08:20,23/06/15 09:11,2,00:51:09,51,3,3
23,25.06.2015,15:00,01:20:00,16:20,25/06/15 20:53,2,04:33:35,274,7,7
24,28.06.2015,15:00,02:00:00,17:00,28/06/15 20:54,2,03:54:55,235,1,4
