TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,24.03.2015,18:35,01:13,19:48,25/03/15 06:12,4,10:24:08,624,7,3
02,25.03.2015,17:39,00:53,18:32,26/03/15 06:20,4,11:48:35,709,4,4
03,27.03.2015,17:12,00:52,18:04,28/03/15 06:29,4,12:25:14,745,4,4
04,28.03.2015,06:55,03:01,09:56,29/03/15 09:45,4,23:49:18,1429,4,4
05,31.03.2015,18:31,01:10,19:41,01/04/15 06:21,4,10:40:23,640,6,2
06,01.04.2015,15:53,00:53,16:46,02/04/15 06:24,4,13:38:58,819,4,4
07,03.04.2015,08:35,01:13,09:48,03/04/15 10:01,2,00:13:45,14,7,6
08,04.04.2015,11:05,00:50,11:55,04/04/15 12:55,2,01:00:06,60,2,2
09,05.04.2015,09:35,02:00,11:35,05/04/15 12:12,2,00:37:54,38,6,5
10,07.04.2015,18:43,01:00,19:43,07/04/15 20:37,2,00:54:08,54,4,4
11,08.04.2015,18:16,00:56,19:12,08/04/15 19:43,2,00:31:35,32,7,6
12,12.04.2015,09:34,01:26,11:00,12/04/15 11:28,2,00:28:00,28,4,3
13,14.04.2015,18:31,01:17,19:48,14/04/15 21:47,3,01:59:24,119,7,4
14,15.04.2015,19:06,00:31,19:37,16/04/15 06:32,3,10:55:17,655,2,3
15,18.04.2015,07:33,00:21,07:54,18/04/15 20:52,3,12:58:28,778,7,2
16,26.04.2015,10:38,00:39,11:17,26/04/15 22:56,3,11:39:27,699,2,3
17,28.04.2015,18:31,00:54,19:25,28/04/15 22:23,3,02:58:20,178,7,6
18,01.05.2015,12:34,00:46,13:20,01/05/15 23:48,3,10:28:40,629,6,4
19,18.05.2015,18:47,01:27,20:14,18/05/15 20:26,1,00:12:43,13,6,4
20,23.05.2015,09:33,01:16,10:49,23/05/15 11:51,1,01:02:34,63,6,4
21,24.05.2015,09:34,01:29,11:03,24/05/15 11:53,1,00:50:12,50,4,4
22,25.05.2015,07:39,01:01,08:40,25/05/15 09:11,1,00:31:18,31,3,3
23,02.06.2015,18:33,01:17,19:50,02/06/15 22:22,1,02:32:14,152,7,2
24,07.06.2015,08:22,00:37,08:59,07/06/15 09:10,1,00:11:18,11,2,2
