TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,24.03.2015,11:37,00:39,12:16,24/03/15 23:43,3,11:27:36,688,7,8
02,26.03.2015,18:47,00:34,19:21,27/03/15 00:12,3,04:51:34,292,7,3
03,29.03.2015,18:07,00:57,19:04,30/03/15 22:03,3,02:59:08,1619,2,2
04,01.04.2015,11:53,00:38,12:31,01/04/15 22:46,3,10:15:16,615,3,3
05,02.04.2015,11:51,00:39,12:30,04/04/15 00:06,3,11:36:39,2137,5,5
06,03.04.2015,11:25,03:46,15:11,04/04/15 00:11,3,09:00:09,540,1,6
07,05.04.2015,20:31,00:51,21:22,06/04/15 02:04,1,04:42:53,1723,2,3
08,09.04.2015,11:51,00:35,12:26,09/04/15 12:28,1,00:02:00,2,3,2
09,10.04.2015,20:51,00:50,21:41,10/04/15 21:45,1,00:04:00,4,7,6
10,12.04.2015,06:48,00:44,07:32,12/04/15 07:40,1,00:08:00,8,4,5
11,14.04.2015,20:07,00:30,20:37,14/04/15 20:42,1,00:05:15,5,7,6
12,16.04.2015,12:07,00:43,12:50,16/04/15 14:01,1,01:11:04,71,3,4
13,28.04.2015,19:59,00:49,20:48,29/04/15 01:01,4,04:13:28,253,7,7
14,08.05.2015,17:24,01:52,19:16,08/05/15 08:40,4,13:24:35,805,6,6
15,08.05.2015,17:43,01:24,19:07,08/05/15 09:26,4,14:19:24,859,4,4
16,07.05.2015,06:28,00:40,07:08,07/05/15 09:36,4,02:28:01,148,7,7
17,19.05.2015,11:51,00:41,12:32,19/05/15 09:56,4,21:24:28,1284,2,3
18,18.05.2015,19:25,00:47,20:12,19/05/15 10:06,4,13:54:37,2275,4,4
19,28.05.2015,12:32,00:35,13:07,28/05/15 15:55,2,02:48:11,168,7,5
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
