TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,13.04.2015,20:11,01:05,21:16,14/04/15 00:17,3,03:01:46,182,4,5
02,14.04.2015,19:00,01:23,20:23,15/04/15 01:46,3,05:23:01,323,7,8
03,15.04.2015,20:06,01:06,21:12,16/04/15 00:42,3,03:30:08,210,2,3
04,18.04.2015,17:16,02:39,19:55,18/04/15 02:15,3,06:20:00,380,4,6
05,29.04.2015,20:22,01:05,21:27,30/04/15 01:31,3,04:04:51,245,4,5
06,30.04.2015,21:05,01:03,22:08,30/04/15 22:08,1,00:00:09,0,4,4
07,01.05.2015,19:21,02:35,21:56,01/05/15 22:11,1,00:15:33,16,1,7
08,03.05.2015,17:32,01:12,18:44,03/05/15 18:49,1,00:05:38,6,2,3
09,04.05.2015,19:34,01:05,20:39,04/05/15 20:47,1,00:08:30,9,4,4
10,05.05.2015,19:00,01:05,20:05,05/05/15 20:17,2,00:12:02,12,5,5
11,06.05.2015,19:50,01:05,20:55,06/05/15 20:58,1,00:03:24,3,2,2
12,08.05.2015,21:40,01:00,22:40,08/05/15 23:04,1,00:24:37,25,4,6
13,09.05.2015,17:10,02:37,19:47,09/05/15 20:12,2,00:25:35,26,1,4
14,11.05.2015,20:52,00:50,21:42,11/05/15 22:10,2,00:28:30,29,2,2
15,12.05.2015,20:35,01:21,21:56,12/05/15 22:25,2,00:29:21,29,7,6
16,14.05.2015,15:29,00:50,16:19,14/05/15 18:04,2,01:45:57,106,3,2
17,19.05.2015,20:06,01:05,21:11,19/05/15 21:44,2,00:33:40,34,2,2
18,20.05.2015,18:57,01:04,20:01,21/05/15 07:25,4,11:24:25,684,2,2
19,22.05.2015,21:45,01:03,22:48,23/05/15 12:24,4,13:36:26,816,2,2
20,23.05.2015,18:13,02:28,20:41,24/05/15 13:20,4,16:39:46,1000,1,3
21,25.05.2015,20:14,00:34,20:48,26/05/15 09:59,4,13:11:18,791,3,3
22,26.05.2015,20:28,01:21,21:49,27/05/15 06:46,4,08:57:47,538,7,7
23,28.05.2015,19:35,00:55,20:30,29/05/15 07:33,4,11:03:00,663,2,2
24,30.05.2015,20:16,00:32,20:48,31/05/15 08:30,4,11:42:57,703,2,1
