TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,09.04.2015,19:06,01:01,20:07,09/04/15 20:14,1,00:07:04,7,7,7
02,11.04.2015,15:58,01:40,17:38,11/04/15 17:44,1,00:06:11,6,4,4
03,14.04.2015,18:13,00:45,18:58,14/04/15 19:02,1,00:04:47,5,3,2
04,16.04.2015,17:28,00:43,18:11,16/04/15 11:10,1,16:59:15,1019,7,4
05,18.04.2015,11:38,01:30,13:08,18/04/15 13:14,1,00:06:19,6,4,5
06,20.04.2015,11:53,00:30,12:23,20/04/15 11:26,1,23:03:57,1384,2,2
07,23.04.2015,18:34,00:35,19:09,23/04/15 21:52,3,02:43:54,164,7,7
08,25.04.2015,10:49,00:30,11:19,26/04/15 00:04,3,12:45:56,766,3,2
09,26.04.2015,14:15,00:19,14:34,26/04/15 22:34,3,08:00:25,480,7,8
10,28.04.2015,11:54,00:29,12:23,28/04/15 21:38,3,09:15:53,556,2,2
11,30.04.2015,19:00,00:35,19:35,30/04/15 22:22,3,02:47:37,168,5,6
12,03.05.2015,13:05,01:54,14:59,03/05/15 21:22,3,06:23:19,383,3,3
13,05.05.2015,11:53,00:45,12:38,05/05/15 13:09,2,00:31:56,32,3,2
14,07.05.2015,17:55,00:47,18:42,07/05/15 19:47,2,01:05:02,65,7,6
15,09.05.2015,16:26,01:41,18:07,09/05/15 18:51,2,00:44:19,44,4,4
16,12.05.2015,12:51,00:44,13:35,12/05/15 13:05,2,23:30:25,1410,3,2
17,14.05.2015,09:50,00:19,10:09,14/05/15 11:01,2,00:52:20,52,7,8
18,17.05.2015,17:03,01:07,18:10,17/05/15 18:56,2,00:46:15,46,3,2
19,18.05.2015,11:50,00:30,12:20,19/05/15 05:25,4,17:05:17,1025,3,2
20,26.05.2015,19:06,00:30,19:36,27/05/15 05:48,4,10:12:09,612,2,1
21,28.05.2015,19:15,00:44,19:59,29/05/15 05:26,4,09:27:09,567,7,3
22,30.05.2015,18:43,00:53,19:36,31/05/15 20:49,4,01:13:10,1513,3,3
23,02.06.2015,19:23,00:45,20:08,03/06/15 07:29,4,11:21:31,682,3,2
24,04.06.2015,19:23,00:59,20:22,05/06/15 06:43,4,10:21:14,621,7,4
