TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,10.04.2015,12:11,00:37,12:48,10/04/15 18:21,3,05:33:48,334,2,2
02,11.04.2015,12:19,01:30,13:49,11/04/15 14:51,3,01:02:16,62,3,2
03,12.04.2015,16:05,00:35,16:40,12/04/15 17:14,3,00:34:29,34,7,5
04,14.04.2015,18:06,01:15,19:21,14/04/15 19:38,3,00:17:53,18,7,5
05,18.04.2015,13:47,01:47,15:34,18/04/15 17:40,3,02:06:31,127,3,2
06,19.04.2015,17:18,00:30,17:48,19/04/15 19:56,4,02:08:15,128,7,4
07,20.04.2015,12:14,00:51,13:05,20/04/15 19:21,4,06:16:01,376,2,2
08,25.04.2015,17:00,00:30,17:30,26/04/15 12:48,4,19:18:00,1158,2,2
09,27.04.2015,11.23,01:36,07:07,28/04/15 09:25,4,02:18:04,138,3,2
10,28.04.2015,08:00,00:52,08:52,28/04/15 09:26,4,00:34:16,34,2,2
11,30.04.2015,13:00,00:20,13:20,30/04/15 17:45,4,04:25:07,265,7,4
12,01.05.2015,10:00,01:40,11:40,01/05/15 12:17,1,00:37:48,38,4,3
13,08.05.2015,18:17,00:30,18:47,08/05/15 19:16,3,00:29:24,29,7,4
14,12.05.2015,18:15,01:00,19:15,12/05/15 19:39,1,00:24:02,24,7,5
15,14.05.2015,13:36,00:47,14:23,14/05/15 16:45,1,02:22:09,142,7,4
16,19.05.2015,12:08,00:55,13:03,19/05/15 19:00,1,05:57:16,357,2,2
17,22.05.2015,20:09,00:23,20:32,22/05/15 21:06,1,00:34:04,34,7,5
18,24.05.2015,10:15,01:40,11:55,24/05/15 16:01,1,04:06:37,247,4,4
19,29.05.2015,12:10,00:50,13:00,29/05/15 20:52,2,07:52:51,473,2,3
20,02.06.2015,12:10,00:50,13:00,02/06/15 19:18,2,06:18:10,378,2,2
21,03.06.2015,18:40,01:04,19:44,03/06/15 20:30,2,00:46:29,46,2,2
22,09.06.2015,18.33,01:20,09:15,09/06/15 20:03,2,10:48:10,648,7,5
23,13.06.2015,13:04,00:40,13:44,13/06/15 20:53,2,07:09:19,429,4,3
24,17.06.2015,12:05,00:52,12:57,17/06/15 20:36,2,07:39:18,459,7,6
