TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,21/02/14,17:00,60,18:00,18:54:00,2,00:54:00,54,3,2
02,23/02/14,10:45,63,11:47,12:37:00,2,00:50:00,50,2,5
03,26/02/14,18:45,67,19:50,20:08:00,2,00:18:00,18,7,3
04,27/02/14,11:40,67,12:45,13:26:00,2,00:41:00,41,4,5
05,01/03/14,10:00,100,11:40,12:26:00,2,00:46:00,46,2,6
06,02/03/14,10:40,71,11:50,12:41:00,2,00:51:00,51,3,3
07,05/03/14,18:30,82,19:50,06:29:00,4,10:39:00,639,7,4
08,06/03/14,11:40,71,12:50,07:03:00,4,18:13:00,1093,4,2
09,07/03/14,11:45,54,12:35,11:10:00,4,22:35:00,1355,3,4
10,08/03/14,11:15,71,12:23,08:54:00,4,20:31:00,1231,4,3
11,11/03/14,17:00,67,18:05,06:59:00,4,12:54:00,774,3,6
12,12/03/14,18:25,81,19:45,06:54:00,4,23:09:00,1389,3,5
13,14/03/14,17:00,66,18:05,09:16:00,3,15:11:00,911,2,5
14,15/03/14,16:45,76,18:00,08:28:00,3,14:28:00,868,3,3
15,16/03/14,11:00,73,12:10,21:26:00,3,09:16:00,556,2,2
16,18/03/14,11:40,60,12:41,21:18:00,3,08:37:00,517,4,5
17,19/03/14,15:45,73,16:55,22:22:00,3,05:27:00,327,3,5
18,20/03/14,11:45,67,12:50,21:08:00,3,08:18:00,498,7,4
19,23/03/14,14:20,76,15:35,16:07:00,1,00:32:00,32,2,5
20,24/03/14,17:05,65,18:10,18:14:00,1,00:04:00,4,3,2
21,25/03/14,11:40,70,12:48,13:33:00,1,00:45:00,45,4,2
22,26/03/14,18:30,83,19:50,20:05:00,1,00:15:00,15,7,2
23,27/03/14,11:55,50,12:44,13:36:00,1,00:52:00,52,3,3
24,01/04/14,12:45,59,13:45,14:13:00,1,00:28:00,28,3,2
