TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,09/12/13,4:00:00 PM,53,16:50,4:50:00 PM,1,00:00:00,0,3,3
02,12/12/13,4:35:00 PM,37,17:20,5:13:00 PM,1,23:53:00,1433,7,6
03,16/12/13,4:30:00 PM,34,17:05,5:06:00 PM,1,00:01:00,1,4,4
04,17/12/13,9:15:00 PM,40,21:50,9:51:00 PM,1,00:01:00,1,4,4
05,20/12/13,4:10:00 PM,47,16:55,4:56:00 PM,1,00:01:00,1,3,4
06,06/01/14,1:12:00 PM,31,13:37,5:25:00 PM,1,03:48:00,228,5,7
07,07/01/14,4:15:00 PM,55,17:10,5:40:00 PM,2,00:30:00,30,3,3
08,,,,,,,,,,
09,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
