TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,01/01/14,14:00,,,23:11:00,3,,,3,3
02,03/01/14,11:10,98,12:48,20:06:00,3,07:18:00,438,7,5
03,05/01/14,16:00,90,17:30,18:50:00,3,01:20:00,80,3,3
04,08/01/14,18:00,70,19:10,20:02:00,3,00:52:00,52,4,5
05,09/01/14,18:00,,,08:05:00,3,,,6,5
06,11/01/14,19:00,,,20:51:00,3,,,3,5
07,28/01/14,19:00,96,20:36,22:10:00,4,01:34:00,94,4,5
08,29/01/14,18:30,76,19:46,21:04:00,4,01:18:00,78,2,2
09,31/01/14,19:00,96,20:36,22:36:00,4,02:00:00,120,4,4
10,01/02/14,14:30,91,16:01,16:42:00,4,00:41:00,41,7,7
11,04/02/14,19:00,122,21:02,23:44:00,4,02:42:00,162,4,6
12,07/02/14,18:30,111,20:21,22:06:00,4,01:45:00,105,5,5
13,10/02/14,10:00,57,10:57,17:27:00,1,06:30:00,390,4,4
14,10/02/14,15:30,,,17:28:00,1,,,6,4
15,11/02/14,18:30,100,20:10,10:35:00,1,14:25:00,865,7,6
16,11/02/14,19:00,,,22:04:00,1,,,5,5
17,13/02/14,19:00,,,11:35:00,1,,,7,7
18,15/02/14,15:00,,,10:17:00,1,,,7,6
19,16/02/14,14:30,94,16:04,19:33:00,2,03:29:00,209,6,4
20,20/02/14,20:00,,,21:37:00,2,,,2,2
21,23/02/14,15:00,125,17:05,18:31:00,2,01:26:00,86,6,4
22,27/02/14,19:00,,,21:14:00,2,,,6,4
23,,,,,,,,,,
24,,,,,,,,,,
