TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,14.03.2015,10:05,01:50,11:55,14/03/15 21:11,3,09:16:00,556,1,7
02,16.03.2015,18:20,01:15,19:35,16/03/15 21:49,3,02:14:00,134,7,5
03,19.03.2015,18:25,01:15,19:40,19/03/15 22:17,3,02:37:00,157,7,8
04,,,,,,3,,,,
05,23.03.2015,18:20,01:00,19:20,23/03/15 21:08,3,01:48:00,108,2,4
06,28.03.2015,13:45,00:33,14:18,28/03/15 22:16,3,07:58:00,478,7,9
07,29.03.2015,11:11,01:31,12:42,29/03/15 13:14,1,00:32:00,32,5,8
08,01.04.2015,17:01,00:46,17:47,01/04/15 17:48,1,00:01:00,1,2,3
09,20.04.2015,18:20,01:15,19:35,20/04/15 19:53,1,00:18:00,18,7,7
10,29.04.2015,16:48,00:25,17:13,29/04/15 17:23,1,00:10:00,10,2,4
11,09.05.2015,11:10,00:45,11:55,09/05/15 11:59,1,00:04:00,4,7,8
12,16.05.2015,17:46,00:26,18:12,16/05/15 18:14,1,00:02:00,2,2,2
13,19.05.2015,18:18,01:05,19:23,19/05/15 08:54,4,13:31:00,811,3,5
14,21.05.2015,15:44,00:52,16:36,21/05/15 09:37,4,17:01:00,1021,7,6
15,24.05.2015,10:03,02:23,12:26,24/05/15 07:39,4,19:13:00,1153,1,6
16,25.05.2015,18:30,00:13,18:43,25/05/15 08:42,4,13:59:00,839,7,6
17,28.05.2015,18:17,01:05,19:22,28/05/15 08:10,4,12:48:00,768,7,5
18,29.05.2015,17:00,01:10,18:10,29/05/15 08:58,4,14:48:00,888,4,7
19,01.06.2015,13:46,00:30,14:16,01/06/15 15:01,2,00:45:00,45,7,4
20,03.06.2015,19:00,01:01,20:01,03/06/15 20:32,2,00:31:00,31,7,8
21,08.06.2015,17:45,00:30,18:15,08/06/15 18:45,2,00:30:00,30,4,4
22,11.06.2015,17:02,00:11,17:13,11/06/15 17:41,2,00:28:00,28,7,5
23,16.06.2015,12:05,00:35,12:40,16/06/15 13:11,2,00:31:00,31,2,2
24,17.06.2015,15:12,00:17,15:29,17/06/15 16:01,2,00:32:00,32,7,4
