TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,14.04.2015,09:00,01:12,10:12,14/04/15 10:41,2,00:29:00,29,3,3
02,16.04.2015,20:15,01:02,21:17,16/04/15 21:47,2,00:30:00,30,7,5
03,01.05.2015,16:40,00:36,17:16,01/05/15 17:42,2,00:26:00,26,3,4
04,03.05.2015,08:30,01:33,10:03,03/05/15 10:44,2,00:41:00,41,5,10
05,07.05.2015,18:54,00:45,19:39,07/05/15 20:13,2,00:34:00,34,2,1
06,10.05.2015,12:50,01:02,13:52,10/05/15 14:18,2,00:26:00,26,3,2
07,14.05.2015,17:39,01:00,18:39,14/05/15 21:31,3,02:52:00,172,3,4
08,28.05.2015,18:28,00:54,19:22,28/05/15 22:05,3,02:43:00,163,5,5
09,31.05.2015,16:03,00:54,16:57,31/05/15 22:41,3,05:44:00,344,2,2
10,02.06.2015,19:19,00:52,20:11,02/06/15 23:30,3,03:19:00,199,7,7
11,04.06.2015,07:20,00:41,08:01,05/06/15 00:12,3,16:11:00,971,2,2
12,04.06.2015,22:47,00:28,23:15,05/06/15 00:14,3,00:59:00,59,7,6
13,06.06.2015,08:03,00:59,09:02,06/06/15 09:21,1,00:19:00,19,4,4
14,07.06.2015,19:28,00:49,20:17,07/06/15 20:36,1,00:19:00,19,4,5
15,09.06.2015,18:52,00:58,19:50,09/06/15 20:13,1,00:23:00,23,3,3
16,10.06.2015,18:16,00:45,19:01,10/06/15 19:16,1,00:15:00,15,6,5
17,13.06.2015,17:44,00:59,18:43,13/06/15 18:51,1,00:08:00,8,4,7
18,14.06.2015,19:57,00:43,20:40,14/06/15 20:47,1,00:07:00,7,3,4
19,16.06.2015,17:15,00:57,18:12,17/06/15 07:46,4,13:34:00,814,4,4
20,17.06.2015,18:56,00:51,19:47,18/06/15 08:14,4,12:27:00,747,2,1
21,18.06.2015,17:24,00:53,18:17,19/06/15 08:00,4,13:43:00,823,6,5
22,21.06.2015,13:07,00:55,14:02,22/06/15 07:34,4,17:32:00,1052,3,3
23,22.06.2015,11:56,00:53,12:49,23/06/15 05:26,4,16:37:00,997,4,3
24,25.06.2015,19:50,00:56,20:46,26/06/15 08:02,4,11:16:00,676,5,6
