TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,17.03.2015,11:54,00:36,12:30,18/03/15 06:17,4,17:47:02,1067,5,7
02,18.03.2015,16:28,00:58,17:26,19/03/15 07:10,4,13:44:43,825,6,7
03,22.03.2015,15:10,00:50,16:00,23/03/15 08:00,4,16:00:36,961,2,2
04,25.03.2015,17:03,00:40,17:43,26/03/15 14:35,4,20:52:48,1253,4,3
05,28.03.2015,15:44,00:49,16:33,29/03/15 08:06,4,15:33:54,934,2,2
06,29.03.2015,10:18,00:36,10:54,30/03/15 07:33,4,20:39:22,1239,4,8
07,01.04.2015,18:49,01:06,19:55,01/04/15 20:25,2,00:30:29,30,3,3
08,03.04.2015,15:37,01:06,16:43,03/04/15 16:51,2,00:08:29,8,3,3
09,04.04.2015,16:32,01:02,17:34,04/04/15 17:49,2,00:15:13,15,4,4
10,05.04.2015,15:29,02:57,18:26,05/04/15 18:39,2,00:13:58,14,1,2
11,08.04.2015,18:36,01:35,20:11,08/04/15 21:29,2,01:18:27,78,4,5
12,18.04.2015,15:44,00:42,16:26,18/04/15 16:36,2,00:10:19,10,3,3
13,07.05.2015,15:28,01:32,17:00,07/05/15 17:08,1,00:08:09,8,3,3
14,08.05.2015,11:44,00:40,12:24,08/05/15 12:50,1,00:26:17,26,2,2
15,11.05.2015,11:43,00:48,12:31,11/05/15 13:05,1,00:34:50,35,2,1
16,14.05.2015,19:33,01:07,20:40,14/05/15 21:05,1,00:25:06,25,4,5
17,23.05.2015,14:01,01:13,15:14,23/05/15 15:23,1,00:09:11,9,4,4
18,30.05.2015,15:42,01:27,17:09,30/05/15 17:11,3,00:02:46,3,3,6
19,18.06.2015,06:05,00:40,06:45,18/06/15 22:50,3,16:05:45,966,4,6
20,22.06.2015,11:22,00:45,12:07,22/06/15 21:43,3,09:36:13,576,3,1
21,23.06.2015,18:15,00:21,18:36,23/06/15 21:08,3,02:32:16,152,7,9
22,24.06.2015,17:11,00:59,18:10,24/06/15 21:22,3,03:12:41,193,7,10
23,25.06.2015,17:39,00:38,18:17,25/06/15 22:44,3,04:27:54,268,7,10
24,27.06.2015,14:11,01:08,15:19,27/06/15 21:47,3,06:28:50,389,7,8
