TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,20/10/13,08:30,00:56:00,09:26,09:56:53,1,00:30:53,31,4,4
02,23/10/13,18:45,00:42:00,19:27,19:24:43,1,00:00:00,0,4,5
03,30/10/13,09:30,01:00:00,10:30,10:50:24,1,00:20:24,20,3,4
04,01/11/13,16:35,00:45:00,17:20,17:18:13,1,00:00:00,0,4,5
05,05/11/13,13:35,00:45:00,14:20,14:22:33,1,00:02:33,3,2,3
06,10/11/13,08:25,00:24:00,08:49,08:58:55,1,00:09:55,10,7,5
07,19/11/13,15:55,00:53:00,16:48,19:21:05,2,02:33:05,153,4,5
08,20/11/13,16:05,00:59:00,17:04,17:36:56,2,00:32:56,33,3,4
09,22/11/13,16:30,00:30:00,17:00,17:35:48,2,00:35:48,36,2,3
10,24/11/13,08:55,00:45:00,09:40,10:12:52,2,00:32:52,33,2,3
11,25/11/13,14:15,00:32:00,14:47,15:30:04,2,00:43:04,43,2,2
12,03/03/14,05:55,00:38:00,06:33,22:54:21,2,16:21:21,981,3,4
13,05/03/14,06:10,00:21:00,06:31,22:33:24,3,16:02:24,962,2,2
14,06/03/14,05:45,00:24:00,06:09,22:06:34,3,15:57:34,958,3,3
15,07/03/14,05:45,00:20:00,06:05,23:48:27,3,17:43:27,1063,3,4
16,09/03/14,07:15,00:47:00,08:02,23:12:01,3,15:10:01,910,4,4
17,04/04/14,06:15,00:28:00,06:43,08:54:25,3,02:11:25,1571,1,3
18,07/04/14,05:45,00:35:00,06:20,06:42:41,3,00:22:41,1463,3,3
19,08/04/14,05:45,00:35:00,06:20,07:01:03,4,00:41:03,1481,3,3
20,09/04/14,05:40,00:35:00,06:15,06:09:03,4,00:00:00,1440,3,3
21,12/04/14,14:00,00:55:00,14:55,06:35:03,4,00:00:00,1440,5,3
22,14/04/14,05:50,00:31:00,06:21,06:35:03,4,00:14:03,1454,5,3
23,,,,,,,,,,
24,,,,,,,,,,
