Protokollzeit,Herzfrequenz
00:00:00,101
00:00:10,108
00:00:20,125
00:00:30,133
00:00:40,136
00:00:50,141
00:01:00,147
00:01:10,153
00:01:20,154
00:01:30,156
00:01:40,157
00:01:50,158
00:02:00,158
00:02:10,158
00:02:20,158
00:02:30,158
00:02:40,158
00:02:50,160
00:03:00,159
00:03:10,159
00:03:20,160
00:03:30,161
00:03:40,162
00:03:50,164
00:04:00,164
00:04:10,166
00:04:20,166
00:04:30,165
00:04:40,164
00:04:50,165
00:05:00,164
00:05:10,162
00:05:20,163
00:05:30,166
00:05:40,164
00:05:50,164
00:06:00,164
00:06:10,164
00:06:20,164
00:06:30,163
00:06:40,164
00:06:50,164
00:07:00,165
00:07:10,167
00:07:20,166
00:07:30,166
00:07:40,166
00:07:50,165
00:08:00,166
00:08:10,164
00:08:20,165
00:08:30,167
00:08:40,167
00:08:50,167
00:09:00,164
00:09:10,164
00:09:20,165
00:09:30,165
00:09:40,165
00:09:50,164
00:10:00,165
00:10:10,164
00:10:20,166
00:10:30,167
00:10:40,165
00:10:50,163
00:11:00,165
00:11:10,166
00:11:20,165
00:11:30,165
00:11:40,165
00:11:50,163
00:12:00,161
00:12:10,160
00:12:20,160
00:12:30,161
00:12:40,161
00:12:50,162
00:13:00,161
00:13:10,161
00:13:20,162
00:13:30,162
00:13:40,162
00:13:50,161
00:14:00,162
00:14:10,162
00:14:20,162
00:14:30,163
00:14:40,163
00:14:50,164
00:15:00,162
00:15:10,161
00:15:20,158
00:15:30,152
00:15:40,145
00:15:50,138
00:16:00,125
00:16:10,119
00:16:20,122
00:16:30,122
00:16:40,116
