TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,24/02/14,12:10:00 PM,54,13:04:00,22:54:00,3,09:50:00,590,4,6
02,25/02/14,1:00:00 PM,46,13:43:00,20:25:00,3,06:42:00,402,3,3
03,26/02/14,6:20:00 PM,74,19:30:00,08:14:00,3,12:34:00,754,7,7
04,27/02/14,12:15:00 PM,45,12:58:00,21:50:00,3,08:52:00,532,3,3
05,01/03/14,9:00:00 AM,36,09:34:00,22:01:00,3,12:27:00,747,2,2
06,03/03/14,12:17:00 PM,42,12:59:00,07:00:00,3,18:01:00,1081,3,3
07,03/03/14,6:10:00 PM,17,18:25:00,07:02:00,1,12:37:00,757,2,1
08,04/03/14,10:44:00 AM,76,11:54:00,16:28:00,1,04:34:00,274,1,3
09,06/03/14,12:15:00 PM,44,12:57:00,07:02:00,1,18:05:00,1085,3,3
10,08/03/17,5:26:00 PM,41,18:05:00,09:44:00,1,15:39:00,939,2,2
11,09/03/14,1:05:00 PM,73,14:14:00,07:54:00,1,17:40:00,1060,1,3
12,10/03/14,11:38:00 AM,66,12:43:00,07:48:00,1,19:05:00,1145,4,5
13,10/03/14,5:22:00 PM,40,17:59:00,07:50:00,2,13:49:00,829,3,3
14,11/03/14,6:35:00 PM,65,19:38:00,19:24:00,2,23:46:00,1426,3,3
15,12/03/14,6:16:00 AM,31,06:42:00,06:48:00,2,00:06:00,6,2,2
16,12/03/14,6:17:00 PM,85,19:32:00,14:18:00,2,18:46:00,1126,7,8
17,13/03/14,12:15:00 PM,53,13:07:00,14:19:00,2,01:12:00,72,3,3
18,09/04/14,12:06:00 PM,47,12:51:00,12:51:00,2,00:00:00,0,2,3
19,10/04/14,8:20:00 AM,47,09:05:00,09:11:00,4,00:06:00,6,3,3
20,14/04/14,12:20:00 PM,37,13:00:00,13:21:00,4,00:21:00,21,3,2
21,16/04/14,6:15:00 PM,110,20:00:00,22:13:00,4,02:13:00,133,7,9
22,17/04/14,12:10:00 PM,53,13:10:00,13:53:00,4,00:43:00,43,3,3
23,06/05/14,12:25:00 PM,36,13:00:00,14:27:00,4,01:27:00,87,3,3
24,08/05/14,12:15:00 PM,47,13:02:00,14:34:00,4,01:32:00,92,3,3
