TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,07/12/13,1:30:00 PM,51,2:10:00 PM,14:38:29,1,00:28:29,28,3,2
02,08/12/13,4:00:00 PM,35,4:35:00 PM,16:34:35,1,00:00:00,0,7,5
03,10/12/13,11:30:00 AM,40,12:25:00 PM,13:11:03,1,00:46:03,46,7,7
04,12/12/13,12:00:00 PM,46,12:45:00 PM,13:13:20,1,00:28:20,28,3,3
05,25/12/13,1:05:00 PM,66,2:10:00 PM,14:33:43,1,00:23:43,24,4,5
06,26/12/13,4:00:00 PM,64,5:05:00 PM,17:07:43,1,00:02:43,3,3,4
07,29/12/13,11:00:00 AM,45,11:45:00 AM,19:16:23,4,07:31:23,451,3,3
08,30/12/13,12:00:00 PM,61,1:00:00 PM,06:19:13,4,17:19:13,1039,3,3
09,31/01/14,6:20:00 PM,40,7:00:00 PM,11:28:12,4,16:28:12,988,4,4
10,03/01/14,12:10:00 PM,91,1:40:00 PM,08:42:29,4,19:02:29,1142,1,4
11,05/01/14,3:45:00 PM,56,4:40:00 PM,19:41:51,4,03:01:51,182,4,5
12,08/01/14,6:30:00 PM,56,7:25:00 PM,07:18:30,4,11:53:30,714,3,3
13,10/01/14,11:55:00 AM,53,12:45:00 PM,07:47:19,3,19:02:19,1142,4,5
14,14/01/14,8:15:00 AM,46,9:00:00 AM,17:28:38,3,08:28:38,509,7,7
15,14/01/14,2:00:00 PM,109,3:50:00 PM,17:30:56,3,01:40:56,101,1,4
16,14/01/14,4:05:00 PM,44,4:50:00 PM,13:27:56,3,20:37:56,1238,3,3
17,23/01/14,12:30:00 PM,,1:35:00 PM,21:05:35,3,07:30:35,451,3,3
18,17/04/14,9:00:00 AM,46,9:45:00 AM,15:28:05,3,05:43:05,343,7,7
19,20/04/14,9:50:00 AM,55,10:43:00 AM,11:13:00,2,00:30:00,30,1,3
20,21/04/14,2:07:00 PM,50,3:00:00 PM,15:30:00,2,00:30:00,30,1,3
21,22/04/14,7:22:00 PM,84,8:42:00 PM,21:12:00,2,00:30:00,30,1,3
22,30/04/14,12:30:00 PM,43,1:11:00 PM,13:41:00,2,00:30:00,30,7,7
23,02/05/14,12:15:00 PM,54,1:08:00 PM,13:08:00,2,00:30:00,30,7,7
24,03/05/14,2:01:00 PM,88,3:26:00 PM,15:56:00,2,00:30:00,30,7,7
