TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,02.02.2015,21:28,00:48,22:16,02/02/15 22:49,2,00:33:26,33,3,3
02,04.02.2015,12:14,00:54,13:08,04/02/15 13:46,2,00:38:57,39,7,5
03,05.02.2015,11:35,00:54,12:29,05/02/15 13:29,2,01:00:39,61,2,2
04,08.02.2015,14:21,01:44,16:05,08/02/15 16:37,2,00:32:04,32,1,4
05,10.02.2015,11:33,01:00,12:33,10/02/15 13:24,2,00:51:22,51,3,2
06,11.02.2015,20:25,00:50,21:15,11/02/15 21:49,2,00:34:42,35,4,4
07,12.02.2015,11:34,00:59,12:33,12/02/15 13:19,1,00:46:58,46,7,6
08,13.02.2015,20:21,00:52,21:13,13/02/15 21:16,1,00:03:03,3,2,2
09,15.02.2015,15:13,01:20,16:33,15/02/15 16:35,1,00:02:05,2,1,4
10,17.02.2015,12:19,01:02,13:21,17/02/15 13:27,1,00:06:51,7,4,5
11,19.02.2015,11:42,00:57,12:39,19/02/15 12:42,1,00:03:03,3,7,8
12,20.02.2015,11:49,01:12,13:01,20/02/15 13:04,1,00:03:32,4,3,4
13,22.02.2015,12:37,01:45,14:22,23/02/15 10:15,4,19:53:58,1194,1,4
14,24.02.2015,11:40,01:03,12:43,25/02/15 08:00,4,19:17:35,1158,4,5
15,25.02.2015,11:41,01:07,12:48,26/02/15 07:43,4,18:55:32,1136,3,3
16,26.02.2015,12:02,00:47,12:49,27/02/15 08:05,4,19:16:43,1157,7,6
17,03.03.2015,11:56,00:56,12:52,04/03/15 08:22,4,19:30:11,1170,3,4
18,05.03.2015,11:35,00:59,12:34,06/03/15 07:12,4,18:38:20,1118,7,7
19,07.03.2015,18:00,01:03,19:03,07/03/15 23:42,3,04:39:41,280,3,3
20,11.03.2015,11:58,01:04,13:02,11/03/15 01:21,3,12:19:37,740,3,4
21,12.03.2015,21:25,01:12,22:37,12/03/15 01:24,3,02:47:26,167,4,5
22,12.03.2015,12:07,01:03,13:10,13/03/15 00:04,3,10:54:06,654,7,6
23,15.03.2015,13:34,02:04,15:38,15/03/15 23:50,3,08:12:16,492,1,5
24,18.03.2015,22:44,00:44,23:28,18/03/15 01:04,3,01:36:29,96,3,4
