TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,06.04.2015,15:06,00:29,15:35,06/04/15 15:45,1,00:10:00,10,2,1
02,08.04.2015,12:14,01:18,13:32,08/04/15 13:38,1,00:06:00,6,7,8
03,09.04.2015,16:16,00:45,17:01,09/04/15 17:12,1,00:11:00,11,3,4
04,14.04.2015,17:12,02:37,19:49,14/04/15 19:53,1,00:04:00,4,1,8
05,18.04.2015,16:11,00:26,16:37,18/04/15 16:43,1,00:06:00,6,7,4
06,21.04.2015,13:46,00:30,14:16,21/04/15 14:19,1,00:03:00,3,3,2
07,24.04.2015,15:05,00:59,16:04,25/04/15 05:47,4,13:43:00,823,7,10
08,28.04.2015,19:24,00:35,19:59,29/04/15 07:18,4,11:19:00,679,2,2
09,29.04.2015,15:57,00:22,16:19,30/04/15 05:50,4,13:31:00,811,4,4
10,02.05.2015,15:36,01:31,17:07,03/05/15 09:47,4,16:40:00,1000,3,3
11,05.05.2015,17:01,00:35,17:36,06/05/15 07:56,4,14:20:00,860,3,2
12,06.05.2015,11:20,00:21,11:41,06/05/15 22:21,4,10:40:00,640,4,5
13,12.05.2015,17:29,00:29,17:58,12/05/15 22:22,3,04:24:00,264,7,3
14,24.05.2015,17:00,00:24,17:24,24/05/15 22:59,3,05:35:00,335,2,4
15,25.05.2015,17:05,00:49,17:54,25/05/15 23:24,3,05:30:00,330,3,3
16,03.06.2015,21:21,00:39,22:00,03/06/15 23:15,3,01:15:00,75,3,2
17,08.06.2015,07:57,00:58,08:55,08/06/15 22:14,3,13:19:00,799,3,2
18,11.06.2015,19:12,00:49,20:01,12/06/15 00:50,3,04:49:00,289,3,2
19,15.06.2015,12:12,00:47,12:59,15/06/15 13:24,2,00:25:00,25,3,4
20,16.06.2015,06:54,00:31,07:25,16/06/15 08:00,2,00:35:00,35,7,4
21,17.06.2015,07:10,01:03,08:13,17/06/15 08:46,2,00:33:00,33,3,4
22,20.06.2015,10:53,00:29,11:22,20/06/15 11:54,2,00:32:00,32,3,3
23,24.06.2015,15:19,01:04,16:23,24/06/15 16:59,2,00:36:00,36,3,3
24,27.06.2015,08:07,00:55,09:02,27/06/15 09:45,2,00:43:00,43,3,3
