TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,17/01/14,10:00:00,0,11:12:00,21:58:00,3,10:46:00,646,3,3
02,19/01/14,10:45:00,0,12:09:00,21:22:00,3,09:13:00,553,6,6
03,21/01/14,09:10:00,0,09:10:00,23:00:00,3,13:50:00,830,4,3
04,22/01/14,10:10:00,0,10:10:00,21:41:00,3,11:31:00,691,6,4
05,24/01/14,09:45:00,0,10:59:00,23:12:00,3,12:13:00,733,4,3
06,25/01/14,10:10:00,0,11:54:00,21:55:00,3,10:01:00,601,6,4
07,26/01/14,10:45:00,0,10:45:00,08:57:00,1,22:12:00,1332,4,2
08,27/01/14,10:50:00,0,12:35:00,10:27:00,1,21:52:00,1312,6,4
09,29/01/14,10:10:00,0,11:21:00,13:10:00,1,01:49:00,109,4,3
10,31/01/14,09:50:00,0,09:50:00,11:37:00,1,01:47:00,107,6,4
11,01/02/14,10:40:00,0,10:40:00,12:43:00,1,02:03:00,123,6,6
12,02/02/14,12:10:00,0,13:35:00,13:42:00,1,00:07:00,7,1,4
13,03/02/14,10:20:00,0,11:36:00,08:03:00,4,20:27:00,1227,4,3
14,08/02/14,10:30:00,0,10:30:00,10:17:00,4,23:47:00,1427,6,3
15,09/02/14,10:40:00,0,12:19:00,08:06:00,4,19:47:00,1187,6,4
16,10/02/14,09:55:00,0,09:55:00,07:52:00,4,21:57:00,1317,4,3
17,11/02/14,09:15:00,0,10:47:00,08:05:00,4,21:18:00,1278,6,4
18,13/02/14,09:55:00,0,11:35:00,14:42:00,4,03:07:00,187,1,4
19,14/02/14,10:12:00,0,11:51:00,15:14:00,2,03:23:00,203,6,5
20,15/02/14,10:45:00,0,12:18:00,13:25:00,2,01:07:00,67,6,4
21,16/02/14,11:20:00,0,11:20:00,14:28:00,2,03:08:00,188,4,2
22,17/02/14,09:56:00,0,09:56:00,12:39:00,2,02:43:00,163,6,5
23,19/02/14,10:00:00,0,11:15:00,11:57:00,2,00:42:00,42,4,3
24,22/02/14,10:40:00,0,10:40:00,13:13:00,2,02:33:00,153,6,4
