TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,19/01/14,14:06,,,15:20:00,1,,,3,2
02,20/01/14,16:08,,,17:15:00,1,,,4,6
03,25/01/14,15:43,55,16:38,16:42:00,1,00:04:00,4,4,6
04,26/01/14,16:40,38,17:18,17:26:00,1,00:08:00,8,4,7
05,02/02/14,17:35,73,18:48,18:49:00,1,00:01:00,1,1,4
06,05/02/14,13:09,59,14:08,14:23:00,1,00:15:00,15,7,8
07,08/02/14,17:15,,,19:00:00,3,,,1,4
08,11/02/14,10:33,,,13:28:00,3,,,1,5
09,13/02/14,13:46,68,14:54,13:50:00,3,23:04:00,1384,4,7
10,16/02/14,16:20,60,17:20,01:10:00,3,07:50:00,470,2,3
11,18/02/14,10:40,,,23:29:00,3,,,4,4
12,20/02/14,17:34,,,06:47:00,3,,,3,4
13,25/02/14,15:04,,,23:05:00,4,,,3,6
14,02/03/14,17:07,,,00:48:00,4,,,1,5
15,03/03/14,15:14,88,16:42,06:31:00,4,14:49:00,889,4,6
16,07/03/14,13:30,41,14:11,12:53:00,4,22:42:00,1362,4,6
17,09/03/14,11:34,100,13:14,07:50:00,4,18:36:00,1116,6,8
18,16/03/14,12:14,42,12:56,13:24:00,4,00:28:00,1468,5,9
19,18/03/14,15:27,,,06:42:00,2,,,7,9
20,23/03/14,15:04,95,16:39,07:41:00,2,15:02:00,902,6,7
21,25/03/14,15:58,53,16:51,17:12:00,2,00:21:00,21,5,8
22,30/03/14,09:37,78,10:55,11:38:00,2,00:43:00,43,5,9
23,13/04/14,09:39,71,10:50,11:07:00,2,00:17:00,17,5,8
24,,,,,,2,,,,
