TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,16.03.2015,05:10,00:46,05:56,16/03/15 06:32,2,00:36:08,36,4,4
02,19.03.2015,05:10,00:53,06:03,19/03/15 06:18,2,00:15:21,15,3,3
03,22.03.2015,10:00,01:26,11:26,22/03/15 12:05,2,00:39:13,39,7,9
04,23.03.2015,05:05,00:00,05:05,23/03/15 06:13,2,01:08:27,68,3,3
05,24.03.2015,18:00,00:42,18:42,24/03/15 19:34,2,00:52:56,53,7,6
06,24.03.2015,05:10,00:52,06:02,25/03/15 06:13,2,00:11:29,11,2,4
06,27.03.2015,06:17,01:03,07:20,28/03/15 08:03,4,00:43:52,1484,4,4
08,28.03.2015,14:31,01:08,15:39,29/03/15 05:15,4,13:36:08,816,5,5
09,29.03.2015,05:30,02:38,08:08,30/03/15 05:03,4,20:55:32,1256,1,4
10,30.03.2015,05:10,00:54,06:04,31/03/15 06:27,4,00:23:46,24,2,2
11,31.03.2015,17:50,00:43,18:33,01/04/15 06:03,4,11:30:04,690,7,5
12,02.04.2015,05:07,00:45,05:52,02/04/15 22:50,4,16:58:07,1018,4,4
13,05.04.2015,08:30,01:00,09:30,05/04/15 15:41,3,06:11:50,372,4,3
14,07.04.2015,17:57,00:44,18:41,08/04/15 00:08,3,05:27:11,327,5,5
15,11.04.2015,14:42,00:47,15:29,11/04/15 04:57,3,13:28:39,809,4,4
16,,,,,,3,,,,
17,,,,,,3,,,,
18,19.04.2015,08:12,00:28,08:40,19/04/15 04:44,3,20:04:37,1205,2,2
19,20.04.2015,10:01,03:00,13:01,20/04/15 21:55,1,08:54:21,534,5,9
20,21.04.2015,07:30,00:30,08:00,21/04/15 15:25,1,07:25:43,446,2,2
21,22.04.2015,15:41,00:30,16:11,22/04/15 16:50,1,00:39:01,39,2,2
22,25.04.2015,10:21,00:29,10:50,25/04/15 13:11,1,02:21:07,141,2,3
23,26.04.2015,08:23,00:46,09:09,26/04/15 09:45,1,00:36:23,36,2,2
24,27.04.2015,05:07,00:53,06:00,27/04/15 06:13,1,00:13:28,13,2,1
