TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,10.01.2015,10:23,00:48,11:11,10/01/15 11:32,2,00:21:19,21,4,3
02,16.01.2015,14:00,00:55,14:55,16/01/15 15:30,2,00:35:36,36,4,3
03,20.01.2015,18:55,00:52,19:47,20/01/15 20:19,2,00:32:45,33,7,5
04,24.01.2015,13:41,01:41,15:22,24/01/15 16:03,2,00:41:53,42,4,3
05,26.02.2015,18:00,00:37,18:37,26/02/15 20:49,2,02:12:00,132,3,2
06,28.02.2015,11:41,01:29,13:10,28/02/15 13:55,2,00:45:59,46,3,3
07,22.03.2015,11:00,00:54,11:54,23/03/15 15:39,3,03:45:33,1666,4,4
08,26.03.2015,18:59,00:38,19:37,26/03/15 20:41,3,01:04:59,65,7,5
09,06.04.2015,15:34,01:26,17:00,07/04/15 08:33,3,15:33:56,2374,2,2
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
