TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,07.04.2015,19:03,01:18,20:21,07/04/15 21:20,3,00:59:34,60,7,7
02,09.04.2015,19:01,01:20,20:21,09/04/15 21:27,3,01:06:00,66,4,5
03,12.04.2015,14:20,01:04,15:24,12/04/15 21:51,3,06:27:19,387,4,4
04,13.04.2015,18:12,00:51,19:03,13/04/15 21:12,3,02:09:39,130,7,5
05,15.04.2015,09:15,00:43,09:58,15/04/15 22:27,3,12:29:57,750,3,3
06,18.04.2015,10:35,00:36,11:11,18/04/15 20:50,3,09:39:17,579,4,4
07,21.04.2015,19:37,00:47,20:24,21/04/15 20:56,1,00:32:42,33,7,7
08,27.04.2015,09:11,00:52,10:03,27/04/15 10:16,1,00:13:39,14,3,3
09,28.04.2015,19:23,00:46,20:09,28/04/15 20:33,1,00:24:56,25,7,4
10,03.05.2015,07:15,00:45,08:00,03/05/15 08:04,1,00:04:23,4,4,3
11,05.05.2015,19:06,01:27,20:33,05/05/15 20:53,1,00:20:43,21,4,5
12,07.05.2015,15:46,01:24,17:10,07/05/15 17:23,1,00:13:28,13,4,4
13,09.05.2015,14:40,01:01,15:41,09/05/15 16:09,2,00:28:53,29,3,3
14,13.05.2015,08:32,00:34,09:06,13/05/15 09:38,2,00:32:03,32,7,5
15,14.05.2015,17:14,00:41,17:55,14/05/15 18:23,2,00:28:17,28,2,2
16,16.05.2015,06:06,00:34,06:40,16/05/15 07:17,2,00:37:32,38,4,4
17,18.05.2015,06:03,00:37,06:40,18/05/15 07:22,2,00:42:42,43,3,3
18,23.05.2015,09:33,00:53,10:26,24/05/15 08:52,2,22:26:41,1347,6,5
19,30.05.2015,14:14,01:05,15:19,31/05/15 07:52,4,16:33:14,993,6,7
20,02.06.2015,19:03,01:23,20:26,03/06/15 06:26,4,10:00:57,601,4,5
21,09.06.2015,19:24,00:42,20:06,10/06/15 06:50,4,10:44:54,645,7,7
22,16.06.2015,19:16,01:04,20:20,17/06/15 07:10,4,10:50:06,650,3,4
23,06.07.2015,16:09,00:35,16:44,07/07/15 06:03,4,13:19:09,799,7,6
24,07.07.2015,19:11,01:23,20:34,08/07/15 06:43,4,10:09:58,610,4,4
