TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,13.03.2015,11:50,01:06,12:56,14/03/15 06:14,4,17:18:47,1039,4,3
02,15.03.2015,13:00,01:22,14:22,16/03/15 07:30,4,17:08:39,1029,6,6
03,18.03.2015,11:50,00:56,12:46,19/03/15 07:46,4,19:00:01,1140,3,3
04,24.03.2015,18:50,01:02,19:52,25/03/15 07:15,4,11:23:22,683,6,8
05,25.03.2015,11:45,00:45,12:30,26/03/15 07:46,4,19:16:23,1156,2,4
06,29.03.2015,10:14,01:19,11:33,30/03/15 08:56,4,21:23:57,1284,1,5
07,03.04.2015,16:43,01:39,18:22,03/04/15 19:04,2,00:42:04,42,6,7
08,06.04.2015,14:19,02:06,16:25,06/04/15 17:31,2,01:06:57,67,1,5
09,08.04.2015,18:47,01:08,19:55,08/04/15 20:27,2,00:32:57,33,7,6
10,11.04.2015,09:55,02:00,11:55,11/04/15 13:24,2,01:29:58,90,6,8
11,19.04.2015,18:00,01:06,19:06,19/04/15 19:33,2,00:27:34,28,5,4
12,20.04.2015,18:19,00:56,19:15,20/04/15 21:36,2,02:21:42,142,7,5
13,22.04.2015,18:48,01:00,19:48,22/04/15 23:58,3,04:10:42,251,7,6
14,26.04.2015,10:04,01:42,11:46,26/04/15 11:21,3,23:35:25,1415,1,7
15,27.04.2015,18:25,00:54,19:19,27/04/15 22:42,3,03:23:34,204,4,3
16,02.05.2015,12:15,00:45,13:00,02/05/15 02:52,3,13:52:04,832,7,7
17,10.05.2015,11:11,01:45,12:56,10/05/15 23:05,3,10:09:32,610,6,6
18,11.05.2015,18:22,00:49,19:11,11/05/15 23:11,3,04:00:26,240,7,5
19,14.05.2015,18:16,00:50,19:06,14/05/15 20:49,1,01:43:44,104,4,4
20,16.05.2015,10:04,02:08,12:12,16/05/15 13:57,1,01:45:34,106,1,3
21,22.05.2015,12:15,00:54,13:09,22/05/15 15:13,1,02:04:47,125,2,2
22,23.05.2015,09:42,03:31,13:13,23/05/15 14:55,1,01:42:11,102,6,8
23,01.06.2015,18:21,01:15,19:36,01/06/15 20:03,1,00:27:59,28,5,7
24,03.06.2015,11:47,00:50,12:37,03/06/15 13:02,1,00:25:19,25,3,4
