TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,30/01/14,19:00:00,44,19:45:00,21:57:00,3,02:12:00,132,2,3
02,03/02/14,17:00:00,54,17:55:00,07:23:00,3,13:28:00,808,2,2
03,06/02/14,09:00:00,46,09:45:00,22:09:00,3,12:24:00,744,2,2
04,15/02/14,13:00:00,64,14:00:00,22:17:00,3,08:17:00,497,7,7
05,16/02/14,10:00:00,65,11:05:00,21:03:00,3,09:58:00,598,2,3
06,17/02/14,18:30:00,61,19:30:00,22:57:00,3,03:27:00,207,7,4
07,19/02/14,18:15:00,91,19:45:00,20:33:00,1,00:48:00,48,7,5
08,21/02/14,10:00:00,46,10:45:00,11:10:00,1,00:25:00,25,2,3
09,22/02/14,18:30:00,46,19:15:00,19:30:00,1,00:15:00,15,2,2
10,23/02/14,11:00:00,51,11:50:00,11:58:00,1,00:08:00,8,3,2
11,25/02/14,11:00:00,35,11:35:00,11:43:00,1,00:08:00,8,2,4
12,26/02/14,17:00:00,77,18:15:00,19:48:00,1,01:33:00,93,7,7
13,01/03/14,15:30:00,47,16:15:00,07:20:00,4,15:05:00,905,2,2
14,05/03/14,08:00:00,64,09:00:00,08:20:00,4,23:20:00,1400,3,4
15,13/03/14,19:50:00,36,20:25:00,06:14:00,4,09:49:00,589,2,3
16,14/03/14,18:50:00,58,19:45:00,06:17:00,4,10:32:00,632,3,4
17,18/03/14,09:30:00,66,10:35:00,06:49:00,4,20:14:00,1214,4,3
18,19/03/14,18:15:00,83,19:35:00,06:37:00,4,11:02:00,662,7,7
19,23/03/14,10:40:00,31,11:10:00,12:19:00,2,01:09:00,69,2,2
20,25/03/14,09:20:00,68,10:25:00,10:53:00,2,00:28:00,28,3,2
21,01/04/14,08:30:00,46,09:15:00,09:43:00,2,00:28:00,28,3,4
22,05/04/14,12:05:00,41,12:45:00,13:09:00,2,00:24:00,24,3,3
23,09/04/14,10:30:00,57,11:25:00,11:46:00,2,00:21:00,21,3,3
24,16/04/14,10:35:00,61,11:35:00,11:59:00,2,00:24:00,24,2,3
