TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,27/10/13,9:30:00 AM,46,10:15:00 AM,10:45:47,3,00:30:47,31,7,5
02,28/10/13,3:50:00 PM,56,4:45:00 PM,17:30:15,3,00:45:15,45,4,7
03,30/10/13,8:15:00 AM,44,9:00:00 AM,09:26:30,3,00:26:30,27,7,4
04,03/11/13,10:00:00 AM,46,10:45:00 AM,11:19:57,3,00:34:57,35,7,4
05,05/11/13,12:00:00 PM,60,1:00:00 PM,13:33:18,3,00:33:18,33,4,5
06,06/11/13,8:00:00 AM,46,8:45:00 AM,09:08:51,3,00:23:51,24,7,4
07,09/11/13,8:30:00 AM,92,10:00:00 AM,21:53:19,4,11:53:19,713,1,2
08,10/11/13,9:40:00 AM,44,10:25:00 AM,21:26:45,4,11:01:45,662,7,4
09,12/11/13,3:50:00 PM,51,4:40:00 PM,21:00:01,4,04:20:01,260,4,4
10,13/11/13,8:05:00 AM,46,8:50:00 AM,20:36:51,4,11:46:51,707,7,4
11,16/11/13,8:30:00 AM,91,10:00:00 AM,22:20:47,4,12:20:47,741,1,3
12,17/11/13,9:55:00 AM,41,10:35:00 AM,21:13:54,4,10:38:54,639,7,5
13,19/11/13,3:50:00 PM,57,4:45:00 PM,07:45:55,1,15:00:55,955,4,4
14,20/11/13,8:00:00 AM,40,8:40:00 AM,06:22:55,1,21:42:55,1303,7,4
15,23/11/13,8:30:00 AM,81,9:50:00 AM,08:46:48,1,22:56:48,1377,1,3
16,24/11/13,9:00:00 AM,41,9:40:00 AM,06:20:26,1,20:40:26,1240,7,4
17,26/11/13,3:50:00 PM,56,4:45:00 PM,07:59:42,1,15:14:42,915,4,4
18,27/11/13,8:05:00 AM,46,8:50:00 AM,08:16:08,1,23:26:08,1406,7,4
19,29/11/13,8:00:00 AM,91,9:30:00 AM,09:32:31,2,00:02:31,3,1,3
20,01/12/13,9:25:00 AM,40,10:05:00 AM,10:08:54,2,00:03:54,4,7,5
21,03/12/13,12:00:00 PM,60,1:00:00 PM,13:01:57,2,00:01:57,2,4,5
22,04/12/13,8:00:00 AM,50,8:50:00 AM,08:53:34,2,00:03:34,4,7,5
23,07/12/13,8:30:00 AM,91,10:00:00 AM,10:00:07,2,00:00:07,0,1,2
24,08/12/13,10:15:00 AM,41,10:55:00 AM,10:56:24,2,00:01:24,1,7,6
