TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,06/01/14,6:13:00 PM,95,7:47:00 PM,8:21:00 AM,2,12:34:00,754,2,3
02,07/01/14,11:57:00 AM,63,12:56:00 PM,7:44:00 AM,2,18:48:00,1128,7,8
03,10/01/14,6:57:00 PM,58,7:52:00 PM,8:21:00 PM,2,00:29:00,29,2,2
04,11/01/14,2:34:00 PM,127,4:38:00 PM,5:06:00 PM,2,00:28:00,28,1,4
05,12/01/14,10:04:00 AM,83,11:25:00 AM,11:42:00 AM,2,00:17:00,17,2,2
06,13/01/14,6:03:00 PM,64,7:04:00 PM,7:23:00 PM,2,00:19:00,19,5,6
07,14/01/14,6:16:00 PM,85,7:39:00 PM,7:46:00 PM,1,00:07:00,7,3,4
08,16/01/14,11:50:00 AM,72,12:59:00 PM,1:01:00 PM,1,00:02:00,2,7,7
09,18/01/14,1:35:00 PM,173,4:20:00 PM,4:26:00 PM,1,00:06:00,6,1,5
10,19/01/14,12:33:00 PM,80,1:48:00 PM,1:52:00 PM,1,00:04:00,4,2,4
11,20/01/14,5:25:00 PM,64,6:24:00 PM,6:28:00 PM,1,00:04:00,4,5,7
12,22/01/14,4:19:00 PM,87,5:41:00 PM,5:45:00 PM,1,00:04:00,4,3,4
13,24/01/14,3:55:00 PM,69,5:01:00 PM,8:19:00 AM,4,15:18:00,918,3,4
14,25/01/14,1:52:00 PM,156,4:23:00 PM,8:13:00 AM,4,15:50:00,950,1,4
15,26/01/14,12:16:00 PM,64,1:17:00 PM,6:12:00 AM,4,16:55:00,1015,2,3
16,27/01/14,12:00:00 PM,58,12:55:00 PM,6:10:00 AM,4,17:20:00,1040,4,5
17,28/01/14,6:31:00 PM,66,7:32:00 PM,6:08:00 AM,4,10:36:00,636,4,5
18,29/01/14,11:42:00 AM,60,12:39:00 PM,6:05:00 AM,4,17:26:00,1046,7,7
19,31/01/14,5:03:00 PM,63,6:04:00 PM,9:58:00 PM,3,03:54:00,234,4,4
20,01/02/14,1:09:00 PM,151,3:36:00 PM,9:59:00 PM,3,06:23:00,383,1,4
21,03/02/14,11:57:00 AM,68,1:02:00 PM,8:55:00 PM,3,07:53:00,473,5,7
22,04/02/14,6:18:00 PM,79,7:33:00 PM,9:44:00 PM,3,02:11:00,131,6,4
23,05/02/14,12:27:00 PM,55,1:19:00 PM,9:00:00 PM,3,07:41:00,461,7,8
24,,,,,,,,,,
