TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,19/01/14,10:00:00 am,79,11:16:00 am,5:14:00 am,4,5:58:00 pm,1078,3,2
02,22/01/14,6:18:00 pm,100,7:55:00 pm,8:35:00 am,4,12:40:00 pm,760,5,7
03,24/01/14,11:17:00 am,83,,,4,,,4,5
04,26/01/14,9:50:00 am,41,10:30:00 am,7:07:00 am,4,8:37:00 pm,1237,2,2
05,29/01/14,6:20:00 pm,68,7:27:00 pm,6:58:00 am,4,11:31:00 am,691,5,8
06,30/01/14,3:36:00 pm,51,4:25:00 pm,8:09:00 am,4,3:44:00 pm,660,3,4
07,07/02/14,6:20:00 pm,85,7:40:00 pm,1:41:00 pm,2,6:01:00 pm,1081,7,8
08,08/02/14,12:23:00 pm,63,1:23:00 pm,3:10:00 pm,2,1:47:00 am,107,3,1
09,11/02/14,3:38:00 pm,46,4:23:00 pm,6:48:00 pm,2,2:25:00 am,145,3,3
10,14/02/14,11:18:00 am,61,12:16:00 pm,1:53:00 pm,2,1:37:00 am,97,4,4
11,21/02/14,6:55:00 pm,58,7:54:00 pm,5:09:00 am,1,09:15:00,555,4,4
12,04/03/14,11:10:00 am,54,12:02:00 pm,12:07:00 pm,1,12:05:00 am,5,3,4
13,05/03/14,6:18:00 pm,92,7:48:00 pm,10:58:00 pm,1,3:10:00 am,190,5,6
14,28/03/14,11:38:00 am,52,12:30:00 pm,1:07:00 pm,1,12:37:00 am,37,3,3
15,02/04/14,6:20:00 pm,84,7:44:00 pm,9:06:00 pm,1,1:22:00 am,82,5,7
16,03/04/14,12:02:00 pm,49,12:51:00 pm,12:24:00 pm,1,11:33:00 pm,1413,3,3
17,06/04/14,9:32:00 am,36,10:08:00 am,9:14:00 am,1,11:06:00 pm,1386,5,6
18,09/04/14,6:18:00 pm,90,7:47:00 pm,8:48:00 pm,1,1:01:00 am,61,5,9
19,13/04/14,10:05:00 am,87,11:32:00 am,9:22:00 pm,3,9:50:00 am,590,4,5
20,15/04/14,10:05:00 am,43,10:48:00 am,6:31:00 pm,3,7:43:00 am,393,2,2
21,15/04/14,4:32:00 pm,115,6:27:00 pm,6:32:00 pm,3,12:05:00 am,5,7,6
22,19/04/14,10:20:00 am,89,11:50:00 am,8:29:00 pm,3,8:39:00 am,519,3,4
23,22/04/14,11:10:00 am,75,12:25:00 pm,8:34:00 pm,3,8:09:00 am,489,3,4
24,23/04/14,6:18:00 pm,83,7:35:00 pm,8:50:00 pm,3,1:15:00 am,75,7,7
