TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,23/11/13,11:20,131,13:30,10:21:00,2,20:51:00,1251,1,5
02,25/11/13,17:15,29,17:45,18:25:00,2,00:40:00,40,3,3
03,30/11/13,12:27,65,13:30,13:54:00,2,00:24:00,24,3,2
04,03/12/13,14:38,59,15:35,15:56:00,2,00:21:00,21,4,3
05,19/12/13,11:00,,11:36,11:56:00,2,,,4,4
06,21/12/13,10:10,,12:10,13:09:00,2,,,1,3
07,25/12/13,16:02,,16:56,09:24:00,4,,,3,2
08,29/12/13,18:04,,18:45,09:52:00,4,,,2,1
09,02/01/14,14:07,,16:09,08:22:00,4,,,1,2
10,09/01/14,12:18,62,13:18,08:43:00,4,19:25:00,1165,7,6
11,25/01/14,14:12,87,15:38,08:43:00,4,00:40:00,40,1,3
12,04/02/14,14:37,,15:20,08:45:00,4,,,3,2
13,11/02/14,17:00,,17:55,21:02:00,3,,,3,2
14,21/02/14,15:45,47,16:31,23:25:00,3,00:20:00,20,3,3
15,14/03/14,15:50,,16:26,20:50:00,3,,,3,2
16,15/03/14,09:20,,09:45,22:11:00,3,,,2,2
17,19/03/14,16:23,33,16:54,22:53:00,3,05:59:00,359,3,3
18,25/03/14,18:30,,19:30,08:24:00,3,,,4,4
19,01/04/14,18:13,70,19:20,19:22:00,1,00:02:00,2,3,3
20,08/04/14,15:10,,15:51,16:05:00,1,,,3,3
21,20/04/14,16:37,65,17:38,17:43:00,1,00:05:00,5,7,8
22,28/04/14,13:11,,13:38,13:41:00,1,,,2,2
23,20/05/14,19:00,19,19:18,19:19:00,1,00:01:00,1,2,2
24,22/05/14,18:20,81,19:40,19:58:00,1,00:18:00,18,7,8
