TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,05.04.2015,14:26,00:34,15:00,05/04/15 21:50,1,06:50:37,411,2,4
02,08.04.2015,07:55,00:29,08:24,08/04/15 08:29,1,00:05:00,5,2,3
03,10.04.2015,08:33,00:30,09:03,10/04/15 09:06,1,00:03:41,3,2,4
04,11.04.2015,16:24,01:20,17:44,11/04/15 17:51,1,00:07:10,7,3,4
05,12.04.2015,11:05,02:06,13:11,12/04/15 13:24,1,00:13:05,13,4,5
06,14.04.2015,18:32,00:59,19:31,14/04/15 19:36,1,00:05:15,5,7,7
07,15.04.2015,21:23,00:47,22:10,16/04/15 22:33,4,00:23:15,1463,2,2
08,20.04.2015,18:57,00:42,19:39,21/04/15 06:13,4,10:34:46,635,2,2
09,18.04.2015,12:24,00:56,13:20,19/04/15 08:46,4,19:26:15,1166,3,3
10,19.04.2015,09:44,01:23,11:07,20/04/15 07:05,4,19:58:33,1199,4,4
11,22.04.2015,19:30,01:05,20:35,23/04/15 06:52,4,10:17:03,617,7,5
12,23.04.2015,18:41,01:14,19:55,24/04/15 07:10,4,11:15:34,676,4,4
13,25.04.2015,12:37,00:52,13:29,25/04/15 23:56,3,10:27:54,628,4,4
14,26.04.2015,16:10,01:18,17:28,26/04/15 22:52,3,05:24:18,324,1,4
15,28.04.2015,19:03,00:54,19:57,28/04/15 23:29,3,03:32:57,213,7,4
16,02.05.2015,16:08,00:59,17:07,03/05/15 00:09,3,07:02:00,422,3,3
17,03.05.2015,13:05,01:29,14:34,03/05/15 23:07,3,08:33:33,514,4,4
18,04.05.2015,19:18,00:49,20:07,04/05/15 22:47,3,02:40:39,161,3,3
19,05.05.2015,17:53,01:01,18:54,05/05/15 19:29,2,00:35:57,36,7,4
20,06.05.2015,17:55,00:45,18:40,06/05/15 19:11,2,00:31:16,31,2,2
21,08.05.2015,17:53,00:29,18:22,08/05/15 18:50,2,00:28:13,28,2,1
22,19.05.2015,19:13,00:24,19:37,19/05/15 20:05,2,00:28:50,29,2,2
23,30.05.2015,19:00,00:29,19:29,30/05/15 20:06,2,00:37:30,38,2,2
24,31.05.2015,14:27,00:55,15:22,31/05/15 16:01,2,00:39:57,40,3,3
