TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,,,,,,,,,,
02,,,,,,,,,,
03,,,,,,,,,,
04,,,,,,,,,,
05,,,,,,,,,,
06,,,,,,,,,,
07,,,,,,,,,,
08,,,,,,,,,,
09,,,,,,,,,,
10,,,,,,,,,,
11,19/03/14,6:15:00 PM,0,7:30:00 PM,20:59:14,1,01:29:14,89,7,7
12,20/03/14,3:55:00 PM,0,4:40:00 PM,16:49:51,1,00:09:51,10,4,3
13,21/03/14,4:35:00 PM,0,5:35:00 PM,21:38:25,3,04:03:25,243,2,3
14,27/03/14,15:45:00,0,17:10:00,05:02:27,3,11:52:27,712,1,4
15,29/03/14,18:25:00,0,19:15:00,09:08:53,3,13:33:53,814,5,4
16,30/03/14,16:10:00,0,17:10:00,22:08:38,3,04:58:38,299,4,3
17,02/04/14,18:20:00,0,19:45:00,22:45:18,3,03:00:18,180,7,7
18,04/04/14,15:50:00,0,17:05:00,05:47:07,3,12:42:07,762,5,7
19,08/04/14,16:20:00,0,17:15:00,17:58:36,2,00:43:36,44,4,5
20,09/04/14,18:20:00,0,19:55:00,20:47:56,2,00:52:56,53,7,7
21,13/04/14,10:05:00,0,11:20:00,12:10:48,2,00:50:48,51,4,4
22,14/04/14,10:05:00,0,11:30:00,12:21:01,2,00:51:01,51,7,8
23,15/04/14,16:35:00,0,18:10:00,19:02:00,2,00:52:00,52,7,9
24,16/04/14,09:30:00,0,10:50:00,11:48:45,2,00:58:45,59,7,10
