TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,22/10/13,18:00:00,56,6:55:00 PM,23:27:51,3,04:32:51,273,4,7
02,24/10/13,20:00:00,58,9:00:00 PM,23:33:05,3,02:33:05,153,4,5
03,28/10/13,19:00:00,60,8:00:00 PM,23:04:02,3,03:04:02,184,3,6
04,02/11/13,18:00:00,66,7:05:00 PM,23:12:00,3,04:07:00,247,3,4
05,04/11/13,18:30:00,56,7:25:00 PM,22:12:22,3,02:47:22,167,4,6
06,06/11/13,18:30:00,59,7:30:00 PM,22:28:01,3,02:58:01,178,4,6
07,08/11/13,17:45:00,61,6:45:00 PM,08:47:43,4,14:02:43,843,4,6
08,10/11/13,17:00:00,57,6:00:00 PM,06:36:00,4,12:36:00,723,4,7
09,11/11/13,18:30:00,57,7:25:00 PM,06:18:59,4,10:53:59,654,5,8
10,14/11/13,18:30:00,58,7:30:00 PM,06:29:33,4,10:59:33,659,4,6
11,16/11/13,16:25:00,60,5:25:00 PM,10:09:00,4,16:44:00,1004,3,4
12,19/11/13,19:15:00,54,8:15:00 PM,06:26:34,4,10:11:34,612,4,6
13,22/11/13,18:30:00,60,7:30:00 PM,19:34:49,1,00:04:49,5,4,6
14,24/11/13,18:30:00,59,7:30:00 PM,19:28:12,1,23:58:12,1438,4,7
15,26/11/13,19:30:00,60,8:30:00 PM,20:32:02,1,00:02:02,2,4,6
16,28/11/13,18:30:00,58,7:30:00 PM,23:31:04,1,04:01:04,241,4,6
17,30/11/13,16:35:00,58,5:35:00 PM,17:37:02,1,00:02:02,2,4,5
18,02/12/13,19:00:00,52,8:00:00 PM,20:13:52,1,00:13:52,14,3,6
19,04/12/13,21:30:00,55,10:30:00 PM,23:11:42,2,00:41:42,42,4,6
20,07/12/13,15:30:00,55,4:30:00 PM,17:15:10,2,00:45:10,45,4,7
21,09/12/13,19:15:00,59,8:15:00 PM,21:45:04,2,01:30:04,90,4,5
22,11/12/13,18:30:00,56,7:30:00 PM,20:08:33,2,00:38:33,39,4,5
23,14/12/13,16:40:00,60,5:40:00 PM,18:38:06,2,00:58:06,58,4,6
24,16/12/13,19:15:00,60,8:15:00 PM,20:39:25,2,00:24:25,24,4,7
