TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,21/02/14,17:00,45,17:40,22:56:00,3,5:16:00 AM,316,2,2
02,23/02/14,11:02,51,11:52,20:58:00,3,9:06:00 AM,546,2,1
03,24/02/14,17:43,56,18:39,21:45:00,3,3:06:00 AM,186,2,1
04,25/02/14,16:16,38,16:54,07:15:00,3,2:21:00 PM,861,2,3
05,26/02/14,18:17,80,19:37,23:20:00,3,3:43:00 AM,223,7,7
06,27/02/14,15:25,40,16:05,18:43:00,3,2:38:00 AM,158,2,2
07,01/03/14,15:25,50,16:15,07:22:00,4,3:07:00 PM,907,2,3
08,04/03/14,16:13,53,16:03,07:19:00,4,3:16:00 PM,916,3,4
09,05/03/14,15:20,57,16:15,08:26:00,4,4:09:00 PM,969,3,3
10,07/03/14,17:03,56,17:58,07:52:00,4,2:54:00 PM,894,3,3
11,11/03/14,16:40,49,17:28,10:32:00,4,5:04:00 PM,1024,2,3
12,12/03/14,16:15,70,17:20,16:13:00,4,10:53:00 PM,1373,4,6
13,13/03/14,17:16,41,17:55,17:59:00,1,12:04:00 AM,4,2,2
14,14/03/14,16:09,65,17:11,17:21:00,1,12:10:00 AM,10,4,6
15,16/03/14,08:59,45,09:42,10:08:00,1,12:26:00 AM,26,2,1
16,17/03/14,16:04,49,16:52,17:07:00,1,12:15:00 AM,15,3,4
17,19/03/14,18:20,91,19:50,20:10:00,1,12:20:00 AM,20,7,9
18,20/03/14,12:20,38,12:55,13:21:00,1,12:26:00 AM,26,2,4
19,21/03/14,12:20,69,13:25,13:55:00,2,12:30:00 AM,30,3,5
20,25/03/14,12:19,47,13:03,13:36:00,2,12:33:00 AM,33,3,3
21,26/03/14,16:37,30,17:07,18:31:00,2,1:24:00 AM,84,2,1
22,05/04/14,13:05,44,13:49,13:19:00,2,11:30:00 PM,1410,4,6
23,07/04/14,19:29,42,20:09,20:34:00,2,12:25:00 AM,25,2,2
24,10/04/14,09:19,42,09:58,9:37:00 AM,,11:39:00 PM,1419,3,3
