TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,28.03.2015,15:27,00:32,15:59,28/03/15 16:34,2,00:35:49,36,3,2
02,30.03.2015,15:10,00:37,15:47,30/03/15 16:29,2,00:42:33,43,3,2
03,03.04.2015,12:51,00:34,13:25,03/04/15 14:06,2,00:41:40,42,2,1
04,05.04.2015,18:10,01:30,19:40,05/04/15 20:35,2,00:55:07,55,1,4
05,06.04.2015,15:06,00:30,15:36,06/04/15 16:05,2,00:29:38,30,2,2
06,08.04.2015,16:47,01:12,17:59,08/04/15 18:28,2,00:29:07,29,7,8
07,09.04.2015,16:39,00:45,17:24,10/04/15 07:34,4,14:10:01,850,3,3
08,11.04.2015,18:00,00:26,18:26,12/04/15 08:08,4,13:42:09,822,7,5
09,14.04.2015,17:36,01:46,19:22,15/04/15 07:33,4,12:11:28,731,1,5
10,17.04.2015,15:27,00:41,16:08,18/04/15 08:28,4,16:20:45,981,3,2
11,19.04.2015,18:08,01:09,19:17,20/04/15 09:40,4,14:23:15,863,7,7
12,21.04.2015,13:46,00:30,14:16,22/04/15 09:09,4,18:53:56,1134,3,3
13,24.04.2015,16:21,00:59,17:20,24/04/15 02:14,3,08:54:20,534,7,10
14,26.04.2015,14:15,00:30,14:45,27/04/15 00:58,3,10:13:24,613,7,10
15,30.04.2015,11:34,01:45,13:19,01/05/15 00:17,3,10:58:27,658,1,6
16,03.05.2015,15:30,00:52,16:22,04/05/15 00:00,3,07:38:25,458,3,2
17,05.05.2015,18:50,00:31,19:21,05/05/15 23:25,3,04:04:49,245,2,2
18,06.05.2015,13:23,00:55,14:18,06/05/15 23:01,3,08:43:41,524,5,6
19,10.05.2015,10:00,01:15,11:15,10/05/15 11:39,1,00:24:14,24,1,5
20,12.05.2015,16:00,00:56,16:56,12/05/15 17:16,1,00:20:14,20,7,8
21,13.05.2015,17:17,00:40,17:57,13/05/15 18:12,1,00:15:44,16,2,2
22,16.05.2015,09:10,00:58,10:08,16/05/15 10:24,1,00:16:58,17,7,8
23,23.05.2015,17:09,01:25,18:34,23/05/15 18:50,1,00:16:30,17,7,6
24,25.05.2015,17:05,00:50,17:55,25/05/15 18:02,1,00:07:31,8,3,2
