TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,23/12/13,1:09:00 PM,31,2:19:00 PM,2:45:00 PM,1,00:26:00,26,2,2
02,24/12/13,2:08:00 PM,45,3:32:00 PM,3:38:00 PM,1,00:06:00,6,3,5
03,25/12/13,3:22:00 PM,33,4:32:00 PM,4:52:00 PM,1,00:20:00,20,2,2
04,27/12/13,1:48:00 PM,80,3:08:00 PM,2:57:00 PM,1,00:01:00,1,7,10
05,28/12/13,1:00:00 PM,70,2:10:00 PM,2:07:00 PM,1,00:01:00,1,7,9
06,31/12/13,1:34:00 PM,36,2:50:00 PM,3:07:00 PM,1,00:17:00,17,2,3
07,06/01/14,3:01:00 PM,31,4:12:00 PM,11:22:00 PM,3,07:10:00,430,2,3
08,07/01/14,4:01:00 PM,32,5:11:00 PM,12:43:00 AM,3,07:32:00,452,3,4
09,14/01/14,4:46:00 PM,23,5:46:00 PM,11:40:00 PM,3,05:54:00,354,2,3
10,24/01/14,3:21:00 PM,20,4:25:00 PM,11:39:00 PM,3,07:14:00,434,2,2
11,27/01/14,6:23:00 PM,39,7:45:00 PM,11:45:00 PM,3,04:00:00,240,2,2
12,06/02/14,2:32:00 PM,51,4:01:00 PM,11:54:00 PM,3,07:53:00,473,3,5
13,07/02/14,4:33:00 PM,22,5:33:00 PM,6:22:00 PM,2,00:49:00,49,2,2
14,08/02/14,12:06:00 PM,61,1:45:00 PM,2:05:00 PM,2,00:20:00,20,7,7
15,10/02/14,6:27:00 PM,34,7:01:00 PM,7:59:00 PM,2,00:58:00,58,3,4
16,11/02/14,3:34:00 PM,47,4:58:00 PM,5:31:00 PM,2,00:33:00,33,3,5
17,13/02/14,4:04:00 PM,47,5:29:00 PM,5:57:00 PM,2,00:28:00,28,3,4
18,14/02/14,4:17:00 PM,29,5:25:00 PM,6:10:00 PM,2,00:45:00,45,2,2
19,18/02/14,3:23:00 PM,22,4:25:00 PM,7:43:00 AM,4,15:17:00,917,2,2
20,20/02/14,6:33:00 PM,31,7:43:00 PM,7:43:00 AM,4,12:00:00,720,7,8
21,21/02/14,6:25:00 PM,45,7:47:00 PM,7:40:00 AM,4,11:53:00,713,3,3
22,27/02/14,6:31:00 PM,21,7:29:00 PM,7:39:00 AM,4,12:10:00,730,7,7
23,28/02/14,5:01:00 PM,41,6:20:00 PM,7:45:00 AM,4,13:25:00,805,3,4
24,06/03/14,6:34:00 PM,21,7:40:00 PM,7:54:00 AM,4,12:14:00,734,7,8
