TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,15/01/14,12:15,57,13:15,13:42:00,2,00:27:00,27,3,3
02,05/02/14,13:05,52,13:57,14:29:00,2,00:32:00,32,3,3
03,19/02/14,17:45,35,18:25,18:59:00,2,00:34:00,34,7,7
04,23/02/14,12:00,59,13:05,14:45:00,2,01:40:00,100,4,4
05,28/02/14,13:00,50,14:15,15:38:00,2,01:23:00,83,7,6
06,02/03/14,16:00,23,16:45,18:12:00,2,01:27:00,87,5,4
07,04/03/14,18:30,41,19:15,21:51:00,1,02:36:00,156,7,7
08,05/03/14,12:40,50,13:30,14:24:00,1,00:54:00,54,6,4
09,07/03/14,17:30,70,18:50,19:36:00,1,00:46:00,46,7,5
10,08/03/14,12:45,11,13:45,13:55:00,1,00:10:00,10,5,8
11,16/03/14,16:45,37,17:25,18:24:00,1,00:59:00,59,7,7
12,19/03/14,12:15,56,13:15,13:34:00,1,00:19:00,19,7,5
13,20/03/14,12:00,43,12:45,13:23:00,3,00:38:00,38,2,2
14,21/03/14,18:15,29,18:45,18:57:00,3,00:12:00,12,2,2
15,01/04/14,12:45,57,13:45,20:00:00,3,06:15:00,375,7,5
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
