TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE,
01,20.01.2015,18:30,01:05:00,19:35:00,20/01/15 21:31,1,01:56:58,117,7,6,
02,22.01.2015,18:20,00:18:00,18:38:00,22/01/15 21:40,1,03:02:28,182,4,4,
03,24.01.2015,11:26,00:57:00,12:23:00,24/01/15 13:37,1,01:14:59,75,7,5,
04,28.01.2015,19:47,00:32:00,20:19:00,28/01/15 23:26,1,03:07:08,187,3,3,
05,29.01.2015,19:46,00:50:00,20:36:00,30/01/15 11:55,1,15:19:33,920,7,5,
06,31.01.2015,17:33,00:50:00,18:23:00,01/02/15 21:00,1,02:37:51,1598,7,5,
07,01.02.2015,13:33,01:30:00,15:03:00,01/02/15 21:07,3,06:04:42,365,3,3,
08,05.02.2015,18:20,00:47:00,19:07:00,05/02/15 22:23,3,03:16:32,197,7,4,
09,07.02.2015,13:15,00:26:00,13:41:00,07/02/15 22:47,3,09:06:46,547,7,5,
10,12.02.2015,18:51,00:45:00,19:36:00,12/02/15 23:23,3,03:47:14,227,7,5,
11,14.02.2015,11:03,00:51:00,11:54:00,14/02/15 23:05,3,11:11:53,672,4,4,
12,15.02.2015,14:06,01:12:51,15:18:51,16/02/15 17:18,4,02:00:04,1564,4,4,
13,17.02.2015,18:47,00:47:00,19:34:00,18/02/15 21:26,4,01:52:10,1552,7,4,
14,22.02.2015,14:34,01:50:00,16:24:00,23/02/15 17:13,4,00:49:58,1490,3,3,
15,24.02.2015,18:49,00:39:00,19:28:00,25/02/15 20:08,4,00:40:49,1481,7,4,
16,27.02.2015,14:57,00:59:00,15:56:00,28/02/15 18:16,4,02:20:36,1581,4,3,
17,01.03.2015,12:32,01:45:00,14:17:00,02/03/15 11:16,4,20:59:50,1260,3,4,
18,03.03.2015,18:09,00:33:00,18:42:00,04/03/15 08:29,2,13:47:23,827,7,5,
19,05.03.2015,18:54,00:37:00,19:31:00,06/03/15 00:25,2,04:54:43,295,7,5,
20,08.03.2015,14:25,02:01:00,16:26:00,08/03/15 18:33,2,02:07:16,127,3,3,
21,12.03.2015,18:19,01:01:00,19:20:00,12/03/15 21:12,2,01:52:57,113,7,4,
22,14.03.2015,10:01,01:01:00,11:02:00,14/03/15 12:14,2,01:12:22,72,5,5,
23,15.03.2015,13:31,01:41:00,15:12:00,15/03/15 18:47,2,03:35:56,216,3,3,
24,18.03.2015,15:32,00:31:00,16:03:00,18/03/15 22:57,2,06:54:33,415,4,3,
