TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,10.03.2015,19:00,00:48,19:48,10/03/15 22:32,3,02:44:45,165,3,2
02,11.03.2015,18:40,01:20,20:00,11/03/15 21:53,3,01:53:02,113,7,6
03,13.03.2015,18:12,00:57,19:09,13/03/15 23:57,3,04:48:02,288,3,2
04,14.03.2015,10:12,01:11,11:23,14/03/15 22:30,3,11:07:40,668,7,6
05,17.03.2015,12:26,01:07,13:33,17/03/15 22:37,3,09:04:57,545,7,6
06,18.03.2015,07:32,00:23,07:55,18/03/15 23:14,3,15:19:15,919,2,2
07,19.03.2015,17:19,01:20,18:39,20/03/15 06:48,4,12:09:25,729,6,3
08,20.03.2015,18:25,01:04,19:29,21/03/15 07:38,4,12:09:44,730,7,7
09,22.03.2015,10:44,01:22,12:06,23/03/15 06:53,4,18:47:02,1127,1,2
10,22.04.2015,18:39,01:00,19:39,23/04/15 06:59,4,11:20:41,681,7,4
11,28.03.2015,08:10,00:50,09:00,29/03/15 08:17,4,23:17:40,1398,3,2
12,29.03.2015,08:25,01:05,09:30,30/03/15 10:17,4,00:47:18,47,3,2
13,31.03.2015,17:25,00:30,17:55,31/03/15 17:58,1,00:03:35,4,2,2
14,01.04.2015,08:17,00:56,09:13,01/04/15 09:17,1,00:04:19,4,5,4
15,02.04.2015,18:02,00:57,18:59,02/04/15 21:46,1,02:47:56,168,6,2
16,06.04.2015,11:35,00:42,12:17,06/04/15 18:14,1,05:57:21,357,6,3
17,07.04.2015,10:55,01:15,12:10,07/04/15 12:16,1,00:06:46,7,7,7
18,08.04.2015,13:12,01:34,14:46,08/04/15 15:00,1,00:14:36,15,1,3
19,11.04.2015,07:05,00:50,07:55,11/04/15 08:01,2,00:06:23,6,5,4
20,13.04.2015,08:51,01:20,10:11,13/04/15 10:54,2,00:43:34,44,1,3
21,14.04.2015,18:59,00:48,19:47,14/04/15 20:24,2,00:37:02,37,3,3
22,15.04.2015,18:30,01:14,19:44,15/04/15 20:19,2,00:35:46,36,7,7
23,17.04.2015,18:08,00:28,18:36,17/04/15 19:12,2,00:36:53,37,3,4
24,20.04.2015,12:40,01:10,13:50,20/04/15 14:13,2,00:23:55,24,3,2
