TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,07.04.2015,11:45,01:22,13:07,07/04/15 19:34,3,06:27:04,387,3,3
02,09.04.2015,09:35,01:20,10:55,09/04/15 21:14,3,10:19:38,620,5,6
03,11.04.2015,12:00,01:09,13:09,11/04/15 20:34,3,07:25:48,446,4,5
04,14.04.2015,12:15,01:16,13:31,14/04/15 21:03,3,07:32:11,452,7,8
05,15.04.2015,12:20,01:00,13:20,16/04/15 06:25,3,17:05:15,1025,2,1
06,18.04.2015,09:45,01:41,11:26,18/04/15 19:45,2,08:19:13,499,7,7
07,20.04.2015,12:00,01:11,13:11,20/04/15 15:05,2,01:54:26,114,3,3
08,22.04.2015,11:45,01:23,13:08,22/04/15 13:41,2,00:33:37,34,3,4
09,23.04.2015,11:55,01:03,12:58,23/04/15 14:19,2,01:21:27,81,7,7
10,24.04.2015,11:40,01:00,12:40,24/04/15 13:41,2,01:01:34,62,2,2
11,,,,,,,,,,
12,28.04.2015,12:30,01:08,13:38,28/04/15 14:25,4,00:47:07,47,2,2
13,,,,,,,,,,
14,30.04.2015,09:15,01:22,10:37,01/05/15 07:57,4,21:20:19,1280,3,3
15,01.05.2015,09:50,02:54,12:44,02/05/15 07:38,4,18:54:08,1134,1,4
16,,,,,,,,,,
17,05.05.2015,12:00,01:05,13:05,06/05/15 07:22,4,18:17:33,1098,7,7
18,06.05.2015,12:30,01:10,13:40,07/05/15 07:00,4,17:20:00,1040,3,4
19,07.05.2015,12:38,01:00,13:38,07/05/15 14:22,1,00:44:43,45,3,2
20,,,,,,,,,,
21,11.05.2015,12:11,01:13,13:24,11/05/15 14:11,1,00:47:43,48,4,5
22,13.05.2015,12:10,01:21,13:31,13/05/15 14:17,1,00:46:41,47,4,3
23,15.05.2015,09:15,00:57,10:12,15/05/15 13:11,1,02:59:53,180,3,2
24,16.05.2015,10:36,00:30,11:06,16/05/15 20:38,1,09:32:03,572,4,3
