TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,28/12/13,16:05:00,0,16:55,07:03:52,4,14:08:52,849,5,6
02,30/12/13,15:45:00,0,17:00,09:43:28,4,16:43:28,1003,3,2
03,31/12/13,15:45:00,0,16:55,08:39:45,4,15:44:45,945,6,4
04,02/01/14,16:10:00,0,17:05,05:00:27,4,11:55:27,715,3,3
05,03/01/14,11:15:00,0,12:55,08:02:45,4,19:07:45,1148,1,3
06,05/01/14,11:15:00,0,12:15,06:13:52,4,17:58:52,1079,3,2
07,06/01/14,11:50:00,0,12:45,12:47:20,1,00:02:20,2,7,7
08,08/01/14,11:20:00,0,12:50,12:56:39,1,00:06:39,7,1,3
09,09/01/14,11:55:00,0,13:00,12:59:05,1,00:00:00,0,3,3
10,10/01/14,10:50:00,0,12:00,12:05:39,1,00:05:39,6,2,2
11,03/02/14,13:00:00,0,13:35,13:38:54,1,00:03:54,4,3,3
12,04/02/14,07:45:00,0,09:15,09:30:10,1,00:15:10,15,1,3
13,07/02/14,11:45:00,0,12:45,13:15:05,2,00:30:05,30,5,4
14,10/02/14,11:20:00,0,12:25,12:55:29,2,00:30:29,30,3,3
15,11/02/14,12:25:00,0,13:55,14:44:11,2,00:49:11,49,1,4
16,04/03/14,11:15:00,0,12:15,12:57:47,2,00:42:47,43,4,4
17,06/03/14,11:15:00,0,12:35,12:58:23,2,00:23:23,23,3,3
18,07/03/14,12:05:00,0,12:50,13:37:09,3,00:47:09,47,3,2
19,10/03/14,11:10:00,0,12:40,22:20:07,3,09:40:07,580,1,2
20,11/03/14,17:15:00,0,18:55,22:50:22,3,03:55:22,235,1,5
21,13/03/14,12:25:00,0,13:55,21:47:08,3,07:52:08,472,1,2
22,16/03/14,10:40:00,0,11:50,22:35:16,3,10:45:16,645,6,3
23,17/03/14,11:40:00,0,12:35,22:20:39,3,09:45:39,586,5,4
24,19/03/14,06:10:00,0,06:40,22:55:25,3,16:15:25,975,2,2
