TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,21.03.2015,10:15,01:34,11:49,21/03/15 12:03,1,00:14:36,15,7,9
02,23.03.2015,18:39,01:05,19:44,23/03/15 20:03,1,00:19:55,20,7,6
03,25.03.2015,17:24,00:32,17:56,25/03/15 18:06,1,00:10:22,10,2,2
04,27.03.2015,18:34,00:16,18:50,27/03/15 18:54,1,00:04:40,5,2,1
05,29.03.2015,13:58,00:41,14:39,29/03/15 14:50,1,00:11:48,12,2,2
06,02.04.2015,18:34,01:11,19:45,02/04/15 20:19,1,00:34:40,35,7,4
07,04.04.2015,10:19,01:23,11:42,05/04/15 04:20,3,16:38:48,999,7,4
08,06.04.2015,13:52,01:03,14:55,07/04/15 00:18,3,09:23:21,563,1,2
09,07.04.2015,16:04,00:46,16:50,07/04/15 20:40,3,03:50:59,231,7,3
10,09.04.2015,18:36,01:24,20:00,09/04/15 22:29,3,02:29:04,149,7,8
11,11.04.2015,10:15,01:29,11:44,11/04/15 22:38,3,10:54:23,654,7,6
12,13.04.2015,18:19,01:40,19:59,13/04/15 22:06,3,02:07:40,128,7,3
13,14.04.2015,18:21,01:26,19:47,15/04/15 08:18,4,12:31:24,751,7,7
14,15.04.2015,17:02,00:49,17:51,16/04/15 08:14,4,14:23:33,864,7,8
15,18.04.2015,17:36,00:47,18:23,19/04/15 10:05,4,15:42:44,943,2,3
16,20.04.2015,18:30,01:45,20:15,21/04/15 07:59,4,11:44:20,704,7,5
17,22.04.2015,18:14,00:58,19:12,23/04/15 09:13,4,14:01:25,841,3,2
18,23.04.2015,16:33,00:52,17:25,24/04/15 08:25,4,15:00:06,900,7,6
19,26.04.2015,16:30,01:20,17:50,26/04/15 18:20,2,00:30:30,31,4,3
20,28.04.2015,17:08,00:42,17:50,28/04/15 18:37,2,00:47:37,48,3,2
21,30.04.2015,18:37,01:24,20:01,30/04/15 20:26,2,00:25:16,25,7,7
22,02.05.2015,10:17,01:12,11:29,02/05/15 11:57,2,00:28:15,28,7,6
23,04.05.2015,18:35,01:24,19:59,04/05/15 20:37,2,00:38:42,39,7,9
24,10.05.2015,15:38,00:28,16:06,10/05/15 16:19,2,00:13:51,14,2,2
