TU,Date,Start,Duration,Ende,Q_answered,Default_Time,Time_passed,Time_passed_min,T_type,RPE
01,07/12/13,13:30,40,14:10,14:38:29,1,00:28:29,28,3,2
02,08/12/13,16:00,35,16:35,16:34:35,1,00:00:00,0,7,5
03,10/12/13,11:30,55,12:25,13:11:03,1,00:46:03,46,7,7
04,12/12/13,12:00,45,12:45,13:13:20,1,00:28:20,28,3,3
05,25/12/13,13:05,65,14:10,14:33:43,1,00:23:43,24,4,5
06,26/12/13,16:00,65,17:05,17:07:43,1,00:02:43,3,3,4
07,28/12/13,11:00,45,11:45,19:16:23,4,07:31:23,451,3,3
08,30/12/13,12:00,60,13:00,06:19:13,4,17:19:13,1039,3,3
09,31/12/13,18:20,40,19:00,11:28:12,4,16:28:12,988,4,4
10,03/01/14,12:10,90,13:40,08:42:29,4,19:02:29,1142,1,4
11,04/01/14,15:45,55,16:40,19:41:51,4,03:01:51,182,4,5
12,08/01/14,18:30,55,19:25,07:18:30,4,11:53:30,714,1,3
13,10/01/14,,,,,3,,,,
14,11/01/14,11:55,50,12:45,07:47:19,3,19:02:19,1142,4,5
15,12/01/14,08:15,45,09:00,17:28:38,3,08:28:38,509,7,7
16,14/01/14,14:00,110,15:40,17:30:56,3,01:50:56,111,1,4
17,15/01/14,16:05,45,16:50,13:27:56,3,21:38:00,1298,3,3
18,17/04/14,09:00,45,09:45,07:30:00,3,22:45:00,1365,7,7
19,20/04/14,09:38,65,10:43,11:13:00,2,00:30:00,30,1,3
20,21/04/14,13:55,65,15:00,15:30:00,2,00:30:00,30,1,3
21,22/04/14,18:53,80,20:13,20:43:00,2,00:30:00,30,1,3
22,30/04/14,12:20,51,13:11,13:41:00,2,00:30:00,30,7,7
23,02/05/14,12:15,53,13:08,13:38:00,2,00:30:00,30,7,7
24,03/05/14,14:01,88,15:29,15:59:00,2,00:30:00,30,7,7
